!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
"ignore	"@@ ig@@ n@@ ore
khambhalida	kham@@ bha@@ li@@ da
khambhat	kham@@ bha@@ t
khambhra	kham@@ bh@@ ra
khambon	kha@@ mb@@ on
khammam	kham@@ ma@@ m
khan	khan
khan's	khan@@ 's
khan-i-khana	khan@@ -@@ i@@ -@@ kh@@ ana
khanbot	khan@@ bot
khandala	khand@@ ala
khandavaprastha	khan@@ da@@ va@@ pra@@ st@@ ha
khanderao	khan@@ de@@ rao
khanderi	khand@@ eri
khanderia	khand@@ er@@ ia
khandesh	khan@@ desh
khandvi	khand@@ vi
khandwa	khand@@ wa
khandwala	khand@@ wala
khanna	khan@@ na
khanpar	khan@@ par
khant	kh@@ ant
kharaghoda	khar@@ ag@@ ho@@ da
kharan	khar@@ an
khare	khar@@ e
kharghar	khar@@ g@@ har
khargone	khar@@ g@@ one
khari	kh@@ ari
khariboli	kh@@ ari@@ bo@@ li
kharif	kh@@ ari@@ f
kharod	khar@@ od
kharod,	khar@@ od@@ ,
kharsani	khar@@ san@@ i
kharsawan	khar@@ sa@@ wan
kharwa	khar@@ wa
khasi	kha@@ si
khatri	kh@@ atri
khavda	kha@@ vda
khecarī	khe@@ car@@ ī
kheda	kheda
khedbrahma	khe@@ d@@ brahma
khedoi	khe@@ doi
kheer	khe@@ er
khengara	kh@@ en@@ gar@@ a
kherali	kh@@ er@@ ali
kheralu	kh@@ er@@ al@@ u
khergam	kh@@ er@@ gam
kheri	kh@@ eri
kherva	kh@@ er@@ va
khesar	kh@@ es@@ ar
khetarpal	khe@@ tar@@ pal
khichdi	kh@@ ich@@ di
khichu	kh@@ ic@@ hu
khijadiya	kh@@ i@@ ja@@ diya
khijadiya,	kh@@ i@@ ja@@ di@@ ya,
khilavad	kh@@ ila@@ vad
khirasara	kh@@ ira@@ sar@@ a
khirokitia	kh@@ ir@@ ok@@ it@@ ia
khirsu	kh@@ ir@@ s@@ u
khliehriat	kh@@ li@@ e@@ h@@ ri@@ at
khmer	kh@@ mer
khmer-language	kh@@ mer@@ -@@ language
khodiyar	kh@@ odi@@ y@@ ar
khokhra	kh@@ o@@ kh@@ ra
khonds	kh@@ on@@ ds
khopala	kh@@ op@@ ala
khorana	kh@@ or@@ ana
khordha	kh@@ or@@ dha
khumalo	kh@@ um@@ al@@ o
khusrow	kh@@ us@@ row
ki	ki
kia	kia
kibber	ki@@ b@@ ber
kichaka	k@@ ic@@ ha@@ ka
killings	k@@ il@@ ling@@ s
kim	kim
kinariwala	kin@@ ari@@ wala
kindergarten	k@@ ind@@ er@@ gar@@ te@@ n
kindness	k@@ ind@@ n@@ ess
king	king
kingdom	kingdom
kingfisher	king@@ f@@ ish@@ er
kings	king ⧺s
kingsley	king@@ s@@ ley
kinloch	kin@@ lo@@ ch
kinnaur	kin@@ na@@ ur
kiphire	ki@@ ph@@ ir@@ e
kipling	ki@@ p@@ ling
kiran	ki@@ ran
kirghiz	kir@@ g@@ hi@@ z
kiribati	ki@@ ri@@ b@@ ati
kirmani	kir@@ mani
kirsten	kir@@ st@@ en
kirtan	kir@@ tan
kirti	kir@@ ti
kisan	kis@@ an
kishan	kis@@ han
kishanganj	kis@@ han@@ ganj
kishibhai	kis@@ hi@@ bhai
kishkindha	k@@ ish@@ kin@@ dha
kishore	k@@ ish@@ ore
kissa	kis@@ sa
kit	k@@ it
kitchen	k@@ it@@ ch@@ en
kite	k@@ ite
klan	k@@ lan
klum	k@@ l@@ um
klux	k@@ lu@@ x
km	k@@ m
kn	k@@ n
knights	k@@ ni@@ gh@@ ts
knockout	k@@ no@@ c@@ ko@@ ut
knowledge	k@@ now@@ le@@ dge
ko	k@@ o
koavf	ko@@ av@@ f
koch	ko@@ ch
kochi	ko@@ chi
kochrab	ko@@ ch@@ ra@@ b
kodagu	ko@@ dag@@ u
kodaikanal	ko@@ da@@ ik@@ an@@ al
koderma	ko@@ der@@ ma
kodiak	ko@@ di@@ ak
kodinar	ko@@ din@@ ar
kodiya	ko@@ diya
kodki	ko@@ d@@ ki
koel	ko@@ el
kohima	ko@@ hi@@ ma
kohl	ko@@ h@@ l
kohli	ko@@ h@@ li
kokrajhar	ko@@ k@@ raj@@ har
kola	k@@ ola
kolaba	ko@@ la@@ ba
kolak	ko@@ la@@ k
kolar	ko@@ lar
kolasib	ko@@ la@@ si@@ b
kolega2357	ko@@ le@@ ga@@ 2@@ 3@@ 5@@ 7
kolhapur	kol@@ ha@@ pur
koli	k@@ oli
kolibrios	ko@@ li@@ bri@@ o@@ s
kolkata	kol@@ kata
kollam	kol@@ lam
koloriang	kol@@ ori@@ ang
kolvi	kol@@ vi
kom	ko@@ m
konark	kon@@ ar@@ k
kondi	kon@@ di
kong	k@@ ong
konkan	kon@@ kan
konkani	kon@@ kan@@ i
koppal	ko@@ p@@ pal
koraput	ko@@ ra@@ put
korba	kor@@ ba
korba,	kor@@ ba@@ ,
korea	korea
korean	kor@@ ean
koregaon	kor@@ e@@ gaon
kori	kor@@ i
koriya	k@@ ori@@ ya
korn	kor@@ n
kosad	ko@@ sad
kosamba	ko@@ sam@@ ba
kosambi	ko@@ sam@@ bi
koshi	ko@@ shi
kosi	ko@@ si
kot	kot
kota	k@@ ota
kota,	ko@@ ta@@ ,
kotai	ko@@ ta@@ i
kotak	ko@@ tak
koteshwar,	kot@@ e@@ sh@@ war@@ ,
koth,	ko@@ th@@ ,
kothara,	ko@@ th@@ ara,
kothari	ko@@ th@@ ari
kotharia,	ko@@ th@@ ari@@ a,
kottayam	kot@@ ta@@ yam
koul	ko@@ ul
kournikova	ko@@ ur@@ n@@ ik@@ o@@ va
kovaya	ko@@ va@@ ya
kovind	ko@@ vind
koyna	ko@@ y@@ na
kozhikode	ko@@ z@@ h@@ ik@@ ode
końskowola	ko@@ ń@@ s@@ ko@@ w@@ ola
kripa	k@@ ri@@ pa
krishak	k@@ ris@@ hak
krishan	k@@ ris@@ han
krishna	krishna
krishnadasa	krishna@@ das@@ a
krishnagiri	krishna@@ giri
krishnalal	krish@@ nal@@ al
krishnamachari	krish@@ na@@ ma@@ char@@ i
krishnamurti	krishna@@ mur@@ ti
krishnas	krishna ⧺s
krishnavatara	krish@@ nav@@ at@@ ara
kritavarma	k@@ rit@@ a@@ var@@ ma
krypton	k@@ r@@ y@@ p@@ ton
kshamavani	k@@ sha@@ ma@@ vani
kshatriya	k@@ shat@@ ri@@ ya
ku	k@@ u
kuan	ku@@ an
kubera	ku@@ ber@@ a
kuchaikote	ku@@ cha@@ ik@@ ote
kuchipudi	ku@@ chi@@ pu@@ di
kufri,	ku@@ f@@ ri@@ ,
kukarmunda	ku@@ kar@@ mun@@ da
kukma	ku@@ k@@ ma
kuldhara	kul@@ dhara
kuldip	kul@@ di@@ p
kulkarni	kul@@ kar@@ ni
kullu	kul@@ l@@ u
kumaon	ku@@ ma@@ on
kumaoni	ku@@ ma@@ on@@ i
kumar	kumar
kumarapala	kum@@ ara@@ p@@ ala
kumari	kum@@ ari
kumarpal	kum@@ ar@@ pal
kumarsinhji	kum@@ ar@@ sinhji
kumbh	kum@@ bh
kumbhakarna	kum@@ bha@@ karna
kumbhalgarh	kum@@ bha@@ l@@ garh
kumbharia	kum@@ bhar@@ ia
kumbhariya,	kum@@ bh@@ ari@@ ya,
kumbharli	kum@@ bhar@@ li
kumey	ku@@ me@@ y
kunal	kun@@ al
kund	kund
kundanika	kun@@ dan@@ ika
kundla	kun@@ d@@ la
kune	kun@@ e
kunj	kun@@ j
kuntasi	kun@@ t@@ asi
kunthunatha	kun@@ th@@ un@@ atha
kunti	kun@@ ti
kupwara	ku@@ p@@ wara
kuranda	kur@@ anda
kurien	kur@@ i@@ en
kurnool	kur@@ no@@ ol
kursi	kur@@ si
kursura	kur@@ sur@@ a
kurta	kur@@ ta
kurukshetra	kur@@ uk@@ she@@ tra
kurung	kur@@ un@@ g
kusha	ku@@ sha
kushadhwaja	k@@ us@@ ha@@ dh@@ wa@@ ja
kushinagar	ku@@ sh@@ in@@ agar
kushmanda	ku@@ sh@@ mand@@ a
kushok	ku@@ sh@@ ok
kusumamala	k@@ us@@ u@@ ma@@ m@@ ala
kutch	kutch
kutchi	k@@ ut@@ chi
kutchkutch	kutch@@ kutch
kutiyana	k@@ ut@@ i@@ yana
kuvo	ku@@ v@@ o
kuwait	ku@@ wa@@ it
kya	k@@ ya
kyelang	k@@ ye@@ lang
kyrgyzstan	k@@ y@@ r@@ gy@@ z@@ stan
kālidāsa	k@@ ā@@ li@@ d@@ ā@@ sa
kātyāyanī	k@@ ā@@ ty@@ ā@@ yan@@ ī
kōtoku-in	k@@ ō@@ to@@ k@@ u@@ -@@ in
l'aviation	l@@ '@@ a@@ vi@@ ation
l.	l@@ .
la	la
label	la@@ bel
labelled	la@@ bel@@ le@@ d
labhshankar	la@@ bh@@ shankar
lablab	la@@ bla@@ b
laboratories	la@@ bor@@ at@@ ories
laboratory	la@@ bor@@ at@@ ory
labour	la@@ bo@@ ur
labrador	la@@ bra@@ do@@ r
lachhiwala	la@@ ch@@ hi@@ wala
lachit	la@@ chi@@ t
ladakh	la@@ da@@ kh
ladakhi	la@@ da@@ kh@@ i
ladders	la@@ d@@ ders
laddu	la@@ d@@ du
ladol,	la@@ dol@@ ,
lady	la@@ dy
lagoon	la@@ go@@ on
lagos	la@@ go@@ s
lagyo	la@@ gy@@ o
lahaul	la@@ ha@@ ul
lahore	la@@ h@@ ore
laishram	la@@ ish@@ ram
lajpat	la@@ j@@ pat
lakadiya	la@@ ka@@ diya
lake	lake
lakes	lake ⧺s
lakh	lak@@ h
lakhamandal	la@@ kha@@ mand@@ al
lakhandei	la@@ khan@@ de@@ i
lakhapadar	la@@ kha@@ pad@@ ar
lakhimpur	lakh@@ im@@ pur
lakhisarai	lakh@@ is@@ ara@@ i
lakhmi	lakh@@ mi
lakhpat	lakh@@ pat
lakhtar	lakh@@ tar
lakkundi	lak@@ kun@@ di
lakshadweep	lak@@ sha@@ d@@ we@@ ep
lakshagraha	lak@@ sha@@ gra@@ ha
lakshamana	lak@@ sha@@ mana
lakshman	laksh@@ man
lakshmana	laksh@@ mana
lakshmeshwara	laksh@@ me@@ sh@@ wara
lakshmi	laksh@@ mi
lakulish	lak@@ ul@@ ish
lal	lal
lala	l@@ ala
lalbhai	lal@@ bhai
lalgarh	lal@@ garh
lalitpur	lal@@ it@@ pur
lalitpur,	lal@@ it@@ pur,
lalji	lal@@ ji
lambha	la@@ m@@ bha
lamborghini	la@@ m@@ bor@@ gh@@ ini
lamjung	la@@ m@@ jun@@ g
lampard	la@@ m@@ par@@ d
lamphelpat	la@@ m@@ ph@@ el@@ pat
lan	lan
land	land
landforms	land@@ for@@ ms
lands	land ⧺s
landslide	land@@ s@@ li@@ de
landsteiner	land@@ ste@@ in@@ er
lane	lan@@ e
lang	lang
lang-ab	lang@@ -@@ a@@ b
lang-am	lang@@ -@@ am
lang-ar	lang@@ -@@ ar
lang-az	lang@@ -@@ a@@ z
lang-bn	lang@@ -@@ bn
lang-bo	lang@@ -@@ b@@ o
lang-de	lang@@ -@@ de
lang-dv	lang@@ -@@ d@@ v
lang-el	lang@@ -@@ el
lang-en	lang@@ -@@ en
lang-es	lang@@ -@@ es
lang-fa	lang@@ -@@ fa
lang-fi	lang@@ -@@ fi
lang-fil	lang@@ -@@ f@@ il
lang-fr	lang@@ -@@ f@@ r
lang-grc-gre	lang@@ -@@ gr@@ c@@ -@@ g@@ re
lang-gu	lang@@ -@@ gu
lang-he	lang@@ -@@ h@@ e
lang-hi	lang@@ -@@ hi
lang-hy	lang@@ -@@ h@@ y
lang-id	lang@@ -@@ id
lang-ja	lang@@ -@@ ja
lang-km	lang@@ -@@ k@@ m
lang-kn	lang@@ -@@ k@@ n
lang-ky	lang@@ -@@ k@@ y
lang-la	lang@@ -@@ la
lang-lo	lang@@ -@@ lo
lang-ml	lang@@ -@@ m@@ l
lang-mol	lang@@ -@@ mo@@ l
lang-mr	lang@@ -@@ m@@ r
lang-my	lang@@ -@@ my
lang-ne	lang@@ -@@ ne
lang-nl	lang@@ -@@ n@@ l
lang-or	lang@@ -@@ or
lang-pa	lang@@ -@@ pa
lang-ps	lang@@ -@@ ps
lang-rn	lang@@ -@@ r@@ n
lang-rom	lang@@ -@@ rom
lang-ru	lang@@ -@@ ru
lang-rw	lang@@ -@@ r@@ w
lang-sa	lang@@ -@@ sa
lang-sd	lang@@ -@@ s@@ d
lang-se	lang@@ -@@ se
lang-si	lang@@ -@@ si
lang-sw	lang@@ -@@ s@@ w
lang-ta	lang@@ -@@ ta
lang-te	lang@@ -@@ te
lang-tg	lang@@ -@@ t@@ g
lang-th	lang@@ -@@ th
lang-tk	lang@@ -@@ t@@ k
lang-tr	lang@@ -@@ t@@ r
lang-uz	lang@@ -@@ u@@ z
lang-yi	lang@@ -@@ y@@ i
lang-zh	lang@@ -@@ zh
lang/data	lan@@ g@@ /@@ data
lang/documentor	lan@@ g@@ /@@ docum@@ en@@ tor
lang/iso	lan@@ g@@ /@@ iso
langhnaj	lan@@ gh@@ na@@ j
langkawi	lan@@ g@@ ka@@ wi
language	language
language/codelist	language/@@ co@@ de@@ list
language/data/iana	language/data/@@ iana
language/data/iso	language/data/@@ iso
language/data/wp	language/data/@@ w@@ p
language/family-color	language/@@ family@@ -@@ color
language/genetic	language/@@ gen@@ e@@ tic
language/language	language/@@ language
language/linguistlist	language/@@ lin@@ gu@@ ist@@ list
language/name/data	language/@@ nam@@ e/@@ data
language/notes	language/@@ not@@ es
language/quilt	language/@@ qu@@ il@@ t
language/ref	language/@@ re@@ f
languages	language ⧺s
langur	langu@@ r
lanka	lan@@ ka
lankan	lan@@ kan
lansdowne,	lan@@ s@@ do@@ w@@ ne@@ ,
lanthanum	lan@@ than@@ um
lanzan	lan@@ z@@ an
laos	la@@ o@@ s
laozi	la@@ o@@ z@@ i
lapasari	la@@ pas@@ ari
lara	l@@ ara
large-billed	lar@@ ge@@ -@@ bil@@ le@@ d
larger	lar@@ ger
laridae	l@@ ari@@ da@@ e
lark	lar@@ k
larry	lar@@ ry
las	las
laser	las@@ er
lasius	la@@ si@@ us
lata	l@@ ata
latehar	lat@@ e@@ har
lath,	l@@ ath@@ ,
lathi,	lat@@ hi@@ ,
latif	l@@ ati@@ f
latin	l@@ ati@@ n
latin-language	l@@ ati@@ n@@ -@@ language
latur	lat@@ ur
latvia	lat@@ via
latvian	lat@@ vi@@ an
launch	la@@ un@@ ch
laureates	la@@ ur@@ e@@ at@@ es
lava	la@@ va
lavani	la@@ vani
lavji	la@@ v@@ ji
lavkumar	la@@ v@@ kumar
law	law
lawngtlai	la@@ wn@@ g@@ t@@ la@@ i
lawrencium	la@@ w@@ ren@@ ci@@ um
laxman	la@@ x@@ man
laxmi	la@@ x@@ mi
layal	la@@ y@@ al
layer	la@@ y@@ er
layout	la@@ yo@@ ut
lead	le@@ ad
leader	le@@ ad@@ er
league	le@@ ag@@ ue
leaning	le@@ an@@ ing
leap	le@@ a@@ p
least	le@@ ast
least-concern	le@@ ast@@ -@@ con@@ c@@ er@@ n
leatherback	le@@ ath@@ er@@ back
lebanon	le@@ ban@@ on
ledger	le@@ d@@ ger
ledo	le@@ do
lee	le@@ e
leeds	le@@ e@@ ds
leela	le@@ ela
leena	le@@ ena
left	le@@ ft
left/coast	le@@ f@@ t/@@ co@@ ast
leg	le@@ g
legend	le@@ gen@@ d
legend0	leg@@ end@@ 0
legislative	leg@@ is@@ lative
legislature	leg@@ is@@ lat@@ ure
lego	le@@ go
legume	le@@ gu@@ me
legumes	le@@ gu@@ me ⧺s
leh	le@@ h
leicester	le@@ ice@@ ster
leinster	le@@ in@@ ster
leishmaniasis	le@@ ish@@ mani@@ as@@ is
leithii	le@@ it@@ hi@@ i
leleti	le@@ le@@ ti
lemon	l@@ em@@ on
len	len
len/core	l@@ en@@ /core
lengpui	l@@ eng@@ pu@@ i
lenin	l@@ en@@ in
lentil	l@@ enti@@ l
leo	le@@ o
leonardo	le@@ on@@ ar@@ do
leone	le@@ one
leopard	le@@ o@@ par@@ d
leprosy	le@@ pro@@ s@@ y
leptospirosis	le@@ p@@ to@@ s@@ pir@@ o@@ sis
lesotho	le@@ so@@ th@@ o
lethal	le@@ tha@@ l
letter/trim	le@@ t@@ ter@@ /@@ tri@@ m
letters	le@@ t@@ ter@@ s
leva	le@@ va
level	le@@ vel
levels	le@@ vel ⧺s
león	le@@ ó@@ n
li	li
libel	li@@ bel
liberia	li@@ ber@@ ia
liberty	li@@ ber@@ ty
libra	li@@ b@@ ra
library	li@@ br@@ ary
libya	li@@ b@@ ya
license	lic@@ en@@ se
license,	lic@@ en@@ se@@ ,
liechtenstein	li@@ e@@ ch@@ ten@@ stein
lien	li@@ en
lies	li@@ es
life	life
lifetime	life@@ time
light	light
light-year	light@@ -@@ year
lighthouse	light@@ house
lighthouses	li@@ gh@@ tho@@ use ⧺s
lilapur,	li@@ la@@ pur,
lillee	l@@ il@@ le@@ e
limbdi	li@@ mb@@ di
limbhoi	lim@@ bho@@ i
limbo	li@@ mb@@ o
limbuda	lim@@ bu@@ da
limburg	lim@@ bur@@ g
limetta	li@@ me@@ t@@ ta
limit	li@@ mi@@ t
limited	li@@ mit@@ ed
limkheda	lim@@ kheda
line	line
lines	line ⧺s
lingaraja	ling@@ ara@@ ja
link	link
link/core	link@@ /core
link/normal	link@@ /@@ nor@@ mal
link/relative	link@@ /@@ re@@ lative
link/secure	link@@ /@@ se@@ c@@ ure
link/text	link@@ /@@ text
links	link ⧺s
linktext	link@@ text
linus	lin@@ us
linux	lin@@ u@@ x
lion	li@@ on
lipid	li@@ pi@@ d
lipstick	li@@ p@@ st@@ ic@@ k
lipulekh	li@@ pu@@ le@@ kh
liquid	li@@ qu@@ id
liquid-crystal	li@@ qu@@ id@@ -@@ cr@@ y@@ st@@ al
list	list
list-style-type	list@@ -@@ style@@ -@@ type
list/entry	l@@ ist@@ /@@ en@@ try
listen	l@@ is@@ te@@ n
listing	l@@ ist@@ ing
lists	list ⧺s
lit-stub	li@@ t@@ -@@ stub
literacy	lit@@ e@@ ra@@ cy
literature	literature
lithium	lit@@ hi@@ um
lithuania	lit@@ hu@@ ania
lithuanian	lit@@ hu@@ an@@ ian
litmus	lit@@ m@@ us
liton	lit@@ on
little	lit@@ tle
liverpool	li@@ ver@@ po@@ ol
living	li@@ v@@ ing
lixer	li@@ x@@ er
liège	li@@ è@@ ge
loans	lo@@ ans
local	loc@@ al
location	location
locho	lo@@ ch@@ o
lock	lo@@ ck
locomotion	lo@@ co@@ mo@@ tion
locomotive	lo@@ co@@ mo@@ ti@@ ve
lodge	lo@@ dge
lodi	lo@@ di
loftus	lo@@ f@@ t@@ us
logicwiki	log@@ ic@@ wik@@ i
logos	lo@@ go@@ s
logp	log@@ p
lohana	lo@@ h@@ ana
lohardaga	lo@@ har@@ dag@@ a
lohia	lo@@ h@@ ia
lohit	lo@@ hi@@ t
lok	lok
lokanatha	lo@@ kan@@ atha
lokhande	lo@@ khand@@ e
lonar	lon@@ ar
lonavla	lon@@ av@@ la
london	london
long	long
longewala	lon@@ ge@@ wala
longifolia	lon@@ gi@@ fo@@ lia
longifrons	lon@@ gi@@ fron@@ s
longitem	long@@ it@@ em
longleng	lon@@ g@@ l@@ en@@ g
longlisted	lon@@ g@@ l@@ ist@@ ed
lookup	lo@@ o@@ ku@@ p
loop	lo@@ o@@ p
lordship	l@@ ord@@ ship
lorem	l@@ or@@ em
los	lo@@ s
loss	lo@@ s ⧺s
lota	lo@@ ta
loteshwar	lo@@ te@@ shwar
lothal	lo@@ tha@@ l
lotus	lo@@ t@@ us
louis	lo@@ u@@ is
louise	lo@@ u@@ ise
louisiana	lo@@ u@@ is@@ iana
love	lo@@ ve
lovji	lo@@ v@@ ji
lovysinghal	lo@@ v@@ y@@ sing@@ hal
lower	lo@@ wer
lowercase	lo@@ wer@@ cas@@ e
lt	l@@ t
ltd.	l@@ t@@ d@@ .
lua	lu@@ a
lucien	lu@@ ci@@ en
luckas-bot	lu@@ c@@ ka@@ s@@ -@@ bot
lucknow	lu@@ ck@@ no@@ w
lucpol	lu@@ c@@ po@@ l
ludhiana	lu@@ dh@@ iana
lug	lu@@ g
luhar	lu@@ har
luis	lu@@ is
lumbini	l@@ umb@@ ini
lunar	l@@ un@@ ar
lunavada	l@@ una@@ vada
lunej	l@@ un@@ e@@ j
lung	l@@ un@@ g
lunglei	l@@ ung@@ le@@ i
luni	l@@ un@@ i
lutetium	l@@ ut@@ e@@ ti@@ um
luther	lu@@ ther
lux	lu@@ x
luxembourg	lu@@ x@@ em@@ bour@@ g
lv	l@@ v
lx	l@@ x
lychee	ly@@ che@@ e
lymph	ly@@ m@@ p@@ h
lyricist	ly@@ ric@@ ist
lytov	ly@@ to@@ v
lzh	l@@ zh
løve	l@@ ø@@ ve
m.	m@@ .
maa	ma@@ a
maas	ma@@ a ⧺s
mabifixem	ma@@ bi@@ fi@@ x@@ em
macaque	ma@@ ca@@ qu@@ e
macau	ma@@ ca@@ u
macedonia	ma@@ ce@@ don@@ ia
machchhu	mach@@ chh@@ u
machchundri	mach@@ chun@@ d@@ ri
machhlivad	ma@@ chh@@ li@@ vad
machilipatnam	ma@@ chil@@ i@@ pat@@ nam
machine	mach@@ ine
machu	mach@@ u
macmurdo's	ma@@ c@@ mur@@ do@@ 's
macrocarpus	ma@@ cro@@ car@@ pus
macrolepis	ma@@ cro@@ le@@ pi@@ s
macrotyloma	ma@@ cro@@ ty@@ lo@@ ma
macwan	ma@@ c@@ wan
mada	mada
madagascar	ma@@ dag@@ as@@ c@@ ar
madakari	ma@@ da@@ kar@@ i
madame	ma@@ dam@@ e
madan	ma@@ dan
madanna	ma@@ dan@@ na
madeira	ma@@ de@@ ira
madh	ma@@ dh
madhapar	madha@@ par
madhav	madha@@ v
madhava	madha@@ va
madhavav	madha@@ vav
madhavpur	madha@@ v@@ pur
madhavsinh	madha@@ v@@ sinh
madhepura	madh@@ e@@ pura
madhmeshwar	madh@@ me@@ shwar
madhopur	madh@@ o@@ pur
madhu	madh@@ u
madhubala	madh@@ u@@ b@@ ala
madhubani	madh@@ u@@ bani
madhubani,	madh@@ u@@ ban@@ i,
madhubhai	madh@@ u@@ bhai
madhuca	madh@@ u@@ ca
madhuri	madh@@ uri
madhusudan	madh@@ u@@ su@@ dan
madhya	madhya
madhyamaheshwar	madh@@ ya@@ ma@@ he@@ shwar
madia	ma@@ dia
madikeri	ma@@ di@@ k@@ eri
madras	ma@@ dra@@ s
madri	ma@@ d@@ ri
madurai	ma@@ du@@ rai
maenam	ma@@ en@@ am
mafat	ma@@ f@@ at
mafatlal	ma@@ f@@ at@@ lal
magadh	ma@@ gadh
magahi	maga@@ hi
magaj	maga@@ j
magazine	maga@@ z@@ ine
magazines	maga@@ z@@ ine ⧺s
magdalla	mag@@ dal@@ la
magderu	mag@@ der@@ u
magh	ma@@ gh
maghval	ma@@ gh@@ v@@ al
magic	ma@@ gi@@ c
magnesium	mag@@ nes@@ ium
magnetic	mag@@ ne@@ tic
magnitude	mag@@ nit@@ ude
magnolia	mag@@ no@@ lia
magod	ma@@ go@@ d
magodi	ma@@ go@@ di
magpie-robin	mag@@ pi@@ e@@ -@@ ro@@ bin
maha	maha
mahabaleshwar	maha@@ bal@@ eshwar
mahabat	maha@@ ba@@ t
mahabharata	maha@@ bhar@@ ata
mahabodhi	maha@@ bo@@ dhi
mahadeo	maha@@ de@@ o
mahadev	maha@@ dev
mahadevan	maha@@ dev@@ an
mahadevi	maha@@ devi
mahagauri	maha@@ ga@@ uri
mahagujarat	maha@@ gujarat
mahajan	maha@@ jan
mahakaleshwar	maha@@ kal@@ eshwar
mahakali	maha@@ kali
mahal	mahal
mahalakshmi	maha@@ laksh@@ mi
mahalaya	maha@@ la@@ ya
mahanadi	mah@@ an@@ adi
mahaprabhu	maha@@ pra@@ bh@@ u
mahar	ma@@ har
maharaj	maharaj
maharaja	maha@@ raja
maharajganj	maharaj@@ ganj
maharana	maha@@ rana
maharashtra	maharashtra
maharashtrian	mahara@@ sh@@ tri@@ an
maharishi	ma@@ har@@ ish@@ i
mahasamund	maha@@ sam@@ und
mahasweta	maha@@ swe@@ ta
mahatma	mah@@ at@@ ma
mahavir	maha@@ vir
mahavira	maha@@ vir@@ a
mahbubnagar	mah@@ bu@@ b@@ nagar
mahdibot	mah@@ di@@ bot
mahemdavad	mah@@ em@@ da@@ vad
mahendragarh	mah@@ end@@ ra@@ garh
mahendralal	mah@@ end@@ r@@ alal
mahesh	mah@@ esh
mahi	ma@@ hi
mahidharpura	ma@@ hi@@ dhar@@ pura
mahindra	mah@@ indra
mahipati	ma@@ hi@@ pati
mahipatram	ma@@ hi@@ pat@@ ram
mahisa	mah@@ is@@ a
mahisagar	ma@@ hi@@ sagar
mahishasura	mah@@ isha@@ sur@@ a
mahishmati	mah@@ ish@@ mati
mahmud	mah@@ mu@@ d
mahoba	ma@@ ho@@ ba
mahobatpara	ma@@ ho@@ bat@@ para
mahrajganj,	mah@@ raj@@ gan@@ j@@ ,
mahudha	mah@@ u@@ dha
mahudi	mah@@ ud@@ i
mahuli	mah@@ uli
mahuva,	mah@@ u@@ va@@ ,
mahuvar	mah@@ u@@ var
mahé	mah@@ é
mahé,	mah@@ é@@ ,
maidan	ma@@ id@@ an
maidens	ma@@ id@@ en@@ s
mail	ma@@ il
main	main
maine	ma@@ ine
mainpuri	main@@ puri
maintenance	ma@@ in@@ ten@@ ance
maio	ma@@ i@@ o
maithili	ma@@ it@@ hil@@ i
maitraka	ma@@ i@@ tra@@ ka
maize	ma@@ i@@ z@@ e
majhalumi	ma@@ j@@ hal@@ um@@ i
majilpur	ma@@ j@@ il@@ pur
majlis-e-ittehadul	ma@@ j@@ lis@@ -@@ e@@ -@@ it@@ te@@ ha@@ du@@ l
major	ma@@ j@@ or
majuli	ma@@ jul@@ i
majumdar	ma@@ j@@ um@@ dar
makaji	ma@@ ka@@ ji
makar	ma@@ kar
makarand	ma@@ kar@@ and
makardhwaja	ma@@ kar@@ dh@@ wa@@ ja
makecat	ma@@ ke@@ cat
makemake	ma@@ ke@@ ma@@ ke
makhanlal	ma@@ khan@@ lal
makhdoom	ma@@ kh@@ do@@ om
makkhali	ma@@ k@@ kha@@ li
makli	ma@@ k@@ li
makrani	ma@@ k@@ rani
maktampur	ma@@ k@@ tam@@ pur
maktupur	ma@@ k@@ tu@@ pur
mal	mal
mala	m@@ ala
malabar	mala@@ bar
malabari	mala@@ bari
malad	mala@@ d
malala	mal@@ ala
malan	mal@@ an
malappuram	mala@@ p@@ puram
malaria	mal@@ aria
malaviya	mala@@ vi@@ ya
malawi	mala@@ wi
malayalam	mala@@ y@@ ala@@ m
malayalam-language	mala@@ y@@ ala@@ m@@ -@@ language
malaysia	mala@@ ys@@ ia
malda	mal@@ da
maldhari	mal@@ dh@@ ari
maldives	mal@@ div@@ es
male	mal@@ e
malegaon	mal@@ e@@ gaon
malela	mal@@ ela
malformed	mal@@ for@@ me@@ d
malgadh	mal@@ gadh
malhotra	mal@@ ho@@ tra
mali	m@@ ali
malkangiri	mal@@ kang@@ iri
malkoha	mal@@ ko@@ ha
mallakhamba	mal@@ la@@ kham@@ ba
mallika	mal@@ li@@ ka
mallikarjuna	mal@@ li@@ kar@@ juna
malnutrition	mal@@ nu@@ tr@@ it@@ ion
malpur	mal@@ pur
malta	mal@@ ta
malva	mal@@ va
malvi	mal@@ vi
malwan	mal@@ wan
mamallapuram	ma@@ mal@@ la@@ puram
mamit	ma@@ mi@@ t
mamluk	ma@@ m@@ lu@@ k
mammals	ma@@ m@@ mal@@ s
