!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
"ignore	"IGNORE	_"ignore
jungle	JUNGLE	_jungle
jupiter	JUPITER	_jupiter
jurisdiction	JURISDICTION	_jurisdiction
jurisprudence	JURISPRUDENCE	_jurisprudence
justice	JUSTICE	_justice
justicia	JUSTICIA	_justicia
justin	JUSTIN	_justin
jvarasura	JVARASURA	_jvarasura
jybot	JYBOT	_jybot
jyeshtha	JYESHTHA	_jyeshtha
jyoti	JYOTI	_jyoti
jyotin	JYOTIN	_jyotin
jyotindra	JYOTINDRA	_jyotindra
jyotirao	JYOTIRAO	_jyotirao
jyotirlinga	JYOTIRLINGA	_jyotirlinga
jyotirlingas	JYOTIRLINGA +(s)	_jyotirlinga +s
jyotirmath	JYOTIRMATH	_jyotirmath
jyotish	JYOTISH	_jyotish
jyotsna	JYOTSNA	_jyotsna
jøma	JØMA	_jøma
k	K	_k
k.	K.	_k.
ka	KA	_ka
kaajal	KAAJAL	_kaajal
kabaddi	KABADDI	_kabaddi
kabir	KABIR	_kabir
kabirdham	KABIR DHAM	_kabir || _dham
kabirvad	KABIRVAD	_kabirvad
kabul	KABUL	_kabul
kachchh	KACHCHH	_kachchh
kachchhi	KACHCHHI	_kachchhi
kachholi	KACHHOLI	_kachholi
kachori	KACHORI	_kachori
kadana	KADANA	_kadana
kadapa	KADAPA	_kadapa
kadeshwari	KADESHWARI	_kadeshwari
kadhi	KADHI	_kadhi
kadi,	KADI,	_kadi,
kadia	KADIA	_kadia
kadiadara	KADIADARA	_kadiadara
kadod	KADOD	_kadod
kadri	KADRI	_kadri
kadu	KADU	_kadu
kafir	KAFIR	_kafir
kafka	KAFKA	_kafka
kag	KAG	_kag
kahlil	KAHLIL	_kahlil
kahwah	KAHWAH	_kahwah
kaif	KAIF	_kaif
kaikeyi	KAIKEYI	_kaikeyi
kailali	KAILALI	_kailali
kailasanathar	KAILASANATHAR	_kailasanathar
kailash	KAILASH	_kailash
kailashpati	KAILASHPATI	_kailashpati
kaimur	KAIMUR	_kaimur
kaithal	KAITHAL	_kaithal
kaji	KAJI	_kaji
kajita	KAJITA	_kajita
kajol	KAJOL	_kajol
kaju	KAJU	_kaju
kak	KAK	_kak
kaka	KAKA	_kaka
kakar,	KAKAR,	_kakar,
kakinada	KAKINADA	_kakinada
kakodkar	KAKODKAR	_kakodkar
kakori	KAKORI	_kakori
kakrapar	KAKRAPAR	_kakrapar
kala	KALA	_kala
kalachuri	KALACHURI	_kalachuri
kalakaar!	KALAKAAR!	_kalakaar!
kalali,	KALALI,	_kalali,
kalam	KALAM	_kalam
kalapi	KALAPI	_kalapi
kalaram	KALARAM	_kalaram
kalaratri	KALARATRI	_kalaratri
kalasha	KALASHA	_kalasha
kalavad	KALAVAD	_kalavad
kaldurg	KALDURG	_kaldurg
kalelkar	KALELKAR	_kalelkar
kaleshwari	KALESHWARI	_kaleshwari
kali	KALI	_kali
kalidas	KALIDAS	_kalidas
kalika	KALIKA	_kalika
kalikot	KALIKOT	_kalikot
kalimpong	KALIMPONG	_kalimpong
kalindi	KALINDI	_kalindi
kalinga	KALINGA	_kalinga
kaliyari	KALIYARI	_kaliyari
kalka–shimla	KALKA–SHIMLA	_kalka–shimla
kalki	KALKI	_kalki
kallis	KALLIS	_kallis
kalmar	KALMAR	_kalmar
kalo	KALO	_kalo
kalol	KALOL	_kalol
kalol,	KALOL,	_kalol,
kalpana	KALPANA	_kalpana
kalpana-1	KALPANA 1	_kalpana || _1
kalpasar	KALPASAR	_kalpasar
kalpeshwar	KALPESHWAR	_kalpeshwar
kalubhar	KALUBHAR	_kalubhar
kalupur	KALUPUR	_kalupur
kalwan	KALWAN	_kalwan
kalyanji–anandji	KALYANJI–ANANDJI	_kalyanji–anandji
kalyanpur	KALYANPUR	_kalyanpur
kama	KAMA	_kama
kamada	KAMADA	_kamada
kamala	KAMALA	_kamala
kamarpukur	KAMARPUKUR	_kamarpukur
kamarupa	KAMARUPA	_kamarupa
kambampati	KAMBAMPATI	_kambampati
kambli	KAMBLI	_kambli
kamboh	KAMBOH	_kamboh
kamboi	KAMBOI	_kamboi
kamdhenu	KAMDHENU	_kamdhenu
kameng	KAMENG	_kameng
kamgar	KAMGAR	_kamgar
kamini	KAMINI	_kamini
kamla	KAMLA	_kamla
kamlashankar	KAMLA SHANKAR	_kamla || _shankar
kamlesh	KAMLESH	_kamlesh
kamleshwar	KAMLESHWAR	_kamleshwar
kampa	KAMPA	_kampa
kamrej	KAMREJ	_kamrej
kamru,	KAMRU,	_kamru,
kamrup	KAMRUP	_kamrup
kamsa	KAMSA	_kamsa
kamte	KAMTE	_kamte
kanaiyalal	KANAIYALAL	_kanaiyalal
kanaji	KANAJI	_kanaji
kanakiya	KANAKIYA	_kanakiya
kanatal	KANATAL	_kanatal
kanavadala	KANAVADALA	_kanavadala
kanchan	KANCHAN	_kanchan
kanchanpur	KANCHANPUR	_kanchanpur
kanchi	KANCHI	_kanchi
kanchipuram	KANCHIPURAM	_kanchipuram
kanda	KANDA	_kanda
kandaghat	KANDA GHAT	_kanda || _ghat
kandahar	KANDAHAR	_kandahar
kandhlawi	KANDHLAWI	_kandhlawi
kandivali	KANDIVALI	_kandivali
kandla	KANDLA	_kandla
kandorna	KANDORNA	_kandorna
kandy	KANDY	_kandy
kaneri	KANERI	_kaneri
kanesue	KANESUE	_kanesue
kangaroo	KANGAROO	_kangaroo
kangchenjunga	KANGCHENJUNGA	_kangchenjunga
kanger	KANGER	_kanger
kangra	KANGRA	_kangra
kangra,	KANGRA,	_kangra,
kangri	KANGRI	_kangri
kanhaiyalal	KANHAIYALAL	_kanhaiyalal
kanheri	KANHERI	_kanheri
kanhoji	KANHOJI	_kanhoji
kanishka	KANISHKA	_kanishka
kanji	KANJI	_kanji
kanjibhai	KANJI BHAI	_kanji || _bhai
kanjira	KANJIRA	_kanjira
kanjy	KANJY	_kanjy
kankaria	KANKARIA	_kankaria
kankawati	KANKAWATI	_kankawati
kanker	KANKER	_kanker
kanker,	KANKER,	_kanker,
kanku	KANKU	_kanku
kanmer	KANMER	_kanmer
kannada	KANNADA	_kannada
kannauj	KANNAUJ	_kannauj
kannauji	KANNAUJI	_kannauji
kannur	KANNUR	_kannur
kanodar	KANODAR	_kanodar
kanodia	KANODIA	_kanodia
kanoj	KANOJ	_kanoj
kanpariya	KANPARIYA	_kanpariya
kanpur	KANPUR	_kanpur
kansar	KANSAR	_kansar
kansas	KANSAS	_kansas
kant	KANT	_kant
kanta	KANTA	_kanta
kantharia	KANTHARIA	_kantharia
kanthkot	KANTHKOT	_kanthkot
kanti	KANTI	_kanti
kanu	KANU	_kanu
kanungo	KANUNGO	_kanungo
kanva	KANVA	_kanva
kanyakumari	KANYAKUMARI	_kanyakumari
kaolinite	KAOLINITE	_kaolinite
kapadia	KAPADIA	_kapadia
kapadvanj	KAPADVANJ	_kapadvanj
kapalabhati	KAPALABHATI	_kapalabhati
kaparada	KAPARADA	_kaparada
kapil	KAPIL	_kapil
kapila	KAPILA	_kapila
kapilvastu	KAPILVASTU	_kapilvastu
kapoor	KAPOOR	_kapoor
kapur	KAPUR	_kapur
kapurthala	KAPURTHALA	_kapurthala
kara	KARA	_kara
karachi	KARACHI	_karachi
karad	KARAD	_karad
karadiya	KARADIYA	_karadiya
karakoram	KARAKORAM	_karakoram
karam	KARAM	_karam
karamsad	KARAMSAD	_karamsad
karamshi	KARAMSHI	_karamshi
karan	KARAN	_karan
karate	KARATE	_karate
karauli	KARAULI	_karauli
karbi	KARBI	_karbi
karchelia	KARCHELIA	_karchelia
kare	KARE	_kare
kareena	KAREENA	_kareena
kareshwar	KARESHWAR	_kareshwar
kargil	KARGIL	_kargil
kariana	KARIANA	_kariana
karim	KARIM	_karim
karimganj	KARIMGANJ	_karimganj
karimnagar	KARIM NAGAR	_karim || _nagar
karjan	KARJAN	_karjan
karkare	KARKARE	_karkare
karkat	KARKAT	_karkat
karl	KARL	_karl
karma	KARMA	_karma
karmanasa	KARMA NASA	_karma || _nasa
karna	KARNA	_karna
karnal	KARNAL	_karnal
karnala	KARNALA	_karnala
karnali	KARNALI	_karnali
karnaprayag	KARNA PRAYAG	_karna || _prayag
karnataka	KARNATAKA	_karnataka
karni	KARNI	_karni
karol,	KAROL,	_karol,
karsan	KARSAN	_karsan
karsanbhai	KARSAN BHAI	_karsan || _bhai
karsandas	KARSANDAS	_karsandas
kartavya	KARTAVYA	_kartavya
karthikeyan	KARTHIKEYAN	_karthikeyan
kartik	KARTIK	_kartik
kartikeya	KARTIKEYA	_kartikeya
karur	KARUR	_karur
karwar	KARWAR	_karwar
kasar	KASAR	_kasar
kasara,	KASARA,	_kasara,
kasaragod	KASARAGOD	_kasaragod
kasaravalli	KASARAVALLI	_kasaravalli
kasganj	KASGANJ	_kasganj
kashi	KASHI	_kashi
kashiram	KASHIRAM	_kashiram
kashmir	KASHMIR	_kashmir
kashmiri	KASHMIRI	_kashmiri
kashyapa	KASHYAPA	_kashyapa
kasirbot	KASIRBOT	_kasirbot
kaski	KASKI	_kaski
kasol	KASOL	_kasol
kasturba	KASTURBA	_kasturba
kasturbhai	KASTURBHAI	_kasturbhai
katar	KATAR	_katar
katargam	KATARGAM	_katargam
katariya,	KATARIYA,	_katariya,
katary	KATARY	_katary
katas	KATAS	_katas
kate	KATE	_kate
kathak	KATHAK	_kathak
kathakali	KATHAKALI	_kathakali
kathgodam	KATHGODAM	_kathgodam
kathiawar	KATHIAWAR	_kathiawar
kathiawari	KATHIAWARI	_kathiawari
kathmandu	KATHMANDU	_kathmandu
kathor	KATHOR	_kathor
kathrada	KATHRADA	_kathrada
kathua	KATHUA	_kathua
katihar	KATIHAR	_katihar
katli	KATLI	_katli
katni	KATNI	_katni
katra,	KATRA,	_katra,
katraj	KATRAJ	_katraj
katrina	KATRINA	_katrina
kaur	KAUR	_kaur
kaurava	KAURAVA	_kaurava
kausalya	KAUSALYA	_kausalya
kausar	KAUSAR	_kausar
kaushal	KAUSHAL	_kaushal
kaushambi	KAUSHAMBI	_kaushambi
kaushik	KAUSHIK	_kaushik
kaustubha	KAUSTUBHA	_kaustubha
kava,	KAVA,	_kava,
kavat	KAVAT	_kavat
kavi	KAVI	_kavi
kaviraja	KAVI RAJA	_kavi || _raja
kavita	KAVITA	_kavita
kavrepalanchok	KAVREPALANCHOK	_kavrepalanchok
kawardha	KAWARDHA	_kawardha
kayavarohan	KAYAVAROHAN	_kayavarohan
kayla	KAYLA	_kayla
kaylana	KAYLANA	_kaylana
kaza,	KAZA,	_kaza,
kazakh	KAZAKH	_kazakh
kazakhstan	KAZAKHSTAN	_kazakhstan
kazhagam/meta/color	KAZHAGAM/META/COLOR	_kazhagam/meta/color
kaziranga	KAZIRANGA	_kaziranga
kcom	KCOM	_kcom
kedar	KEDAR	_kedar
kedarkantha	KEDARKANTHA	_kedarkantha
kedarnath	KEDAR NATH	_kedar || _nath
keeping	KEEPING	_keeping
keller	KELLER	_keller
kelovy	KELOVY	_kelovy
kelvin	KELVIN	_kelvin
kemal	KEMAL	_kemal
ken	KEN	_ken
kendra	KENDRA	_kendra
kendrapara	KENDRA PARA	_kendra || _para
kendujhar	KENDUJHAR	_kendujhar
kentucky	KENTUCKY	_kentucky
kenya	KENYA	_kenya
keoladeo	KEOLADEO	_keoladeo
keorapetse	KEORAPETSE	_keorapetse
kepler-452b	KEPLER 452B	_kepler || _452b
kera	KERA	_kera
kera,	KERA,	_kera,
kerala	KERALA	_kerala
kerala-no-dhoro	KERALA NO DHORO	_kerala || _no || _dhoro
keri	KERI	_keri
kerwada	KERWADA	_kerwada
kesar	KESAR	_kesar
kesari	KESARI	_kesari
keshav	KESHAV	_keshav
keshavlal	KESHAVLAL	_keshavlal
keshavram	KESHAVRAM	_keshavram
keshgarh	KESHGARH	_keshgarh
keshod	KESHOD	_keshod
keshubhai	KESHUBHAI	_keshubhai
kesimpa,	KESIMPA,	_kesimpa,
ketan	KETAN	_ketan
kettle	KETTLE	_kettle
kevala	KEVALA	_kevala
kevi	KEVI	_kevi
key	KEY	_key
keyboard	KEYBOARD	_keyboard
keys	KEY +(s)	_key +s
kg	KG	_kg
kgositsile	KGOSITSILE	_kgositsile
khab	KHAB	_khab
khabardar	KHABARDAR	_khabardar
khachar	KHACHAR	_khachar
khadi	KHADI	_khadi
khadia,	KHADIA,	_khadia,
khadiya	KHADIYA	_khadiya
khadotiya	KHADOTIYA	_khadotiya
khagaria	KHAGARIA	_khagaria
khaja	KHAJA	_khaja
khajrana	KHAJRANA	_khajrana
khajuraho	KHAJURAHO	_khajuraho
khakharechi	KHAKHARECHI	_khakharechi
khakhra	KHAKHRA	_khakhra
khalifa	KHALIFA	_khalifa
khalilabad,	KHALILABAD,	_khalilabad,
khalji	KHALJI	_khalji
khalkhalio	KHALKHALIO	_khalkhalio
khalsa	KHALSA	_khalsa
khaman	KHAMAN	_khaman
khambatta	KHAMBATTA	_khambatta
khambhalida	KHAMBHALIDA	_khambhalida
khambhat	KHAMBHAT	_khambhat
khambhra	KHAMBHRA	_khambhra
khambon	KHAMBON	_khambon
khammam	KHAMMAM	_khammam
khan	KHAN	_khan
khan's	KHAN'S	_khan's
khan-i-khana	KHAN I KHANA	_khan || _i || _khana
khanbot	KHANBOT	_khanbot
khandala	KHANDALA	_khandala
khandavaprastha	KHANDAVAPRASTHA	_khandavaprastha
khanderao	KHANDERAO	_khanderao
khanderi	KHANDERI	_khanderi
khanderia	KHANDERIA	_khanderia
khandesh	KHANDESH	_khandesh
khandvi	KHANDVI	_khandvi
khandwa	KHANDWA	_khandwa
khandwala	KHANDWALA	_khandwala
khanna	KHANNA	_khanna
khanpar	KHANPAR	_khanpar
khant	KHANT	_khant
kharaghoda	KHARAGHODA	_kharaghoda
kharan	KHARAN	_kharan
khare	KHARE	_khare
kharghar	KHARGHAR	_kharghar
khargone	KHARGONE	_khargone
khari	KHARI	_khari
khariboli	KHARIBOLI	_khariboli
kharif	KHARIF	_kharif
kharod	KHAROD	_kharod
kharod,	KHAROD,	_kharod,
kharsani	KHARSANI	_kharsani
kharsawan	KHARSAWAN	_kharsawan
kharwa	KHARWA	_kharwa
khasi	KHASI	_khasi
khatri	KHATRI	_khatri
khavda	KHAVDA	_khavda
khecarī	KHECARĪ	_khecarī
kheda	KHEDA	_kheda
khedbrahma	KHEDBRAHMA	_khedbrahma
khedoi	KHEDOI	_khedoi
kheer	KHEER	_kheer
khengara	KHENGARA	_khengara
kherali	KHERALI	_kherali
kheralu	KHERALU	_kheralu
khergam	KHERGAM	_khergam
kheri	KHERI	_kheri
kherva	KHERVA	_kherva
khesar	KHESAR	_khesar
khetarpal	KHETARPAL	_khetarpal
khichdi	KHICHDI	_khichdi
khichu	KHICHU	_khichu
khijadiya	KHIJADIYA	_khijadiya
khijadiya,	KHIJADIYA,	_khijadiya,
khilavad	KHILAVAD	_khilavad
khirasara	KHIRASARA	_khirasara
khirokitia	KHIROKITIA	_khirokitia
khirsu	KHIRSU	_khirsu
khliehriat	KHLIEHRIAT	_khliehriat
khmer	KHMER	_khmer
khmer-language	KHMER LANGUAGE	_khmer || _language
khodiyar	KHODIYAR	_khodiyar
khokhra	KHOKHRA	_khokhra
khonds	KHONDS	_khonds
khopala	KHOPALA	_khopala
khorana	KHORANA	_khorana
khordha	KHORDHA	_khordha
khumalo	KHUMALO	_khumalo
khusrow	KHUSROW	_khusrow
ki	KI	_ki
kia	KIA	_kia
kibber	KIBBER	_kibber
kichaka	KICHAKA	_kichaka
killings	KILLINGS	_killings
kim	KIM	_kim
kinariwala	KINARIWALA	_kinariwala
kindergarten	KINDERGARTEN	_kindergarten
kindness	KINDNESS	_kindness
king	KING	_king
kingdom	KINGDOM	_kingdom
kingfisher	KINGFISHER	_kingfisher
kings	KING +(s)	_king +s
kingsley	KINGSLEY	_kingsley
kinloch	KINLOCH	_kinloch
kinnaur	KINNAUR	_kinnaur
kiphire	KIPHIRE	_kiphire
kipling	KIPLING	_kipling
kiran	KIRAN	_kiran
kirghiz	KIRGHIZ	_kirghiz
kiribati	KIRIBATI	_kiribati
kirmani	KIRMANI	_kirmani
kirsten	KIRSTEN	_kirsten
kirtan	KIRTAN	_kirtan
kirti	KIRTI	_kirti
kisan	KISAN	_kisan
kishan	KISHAN	_kishan
kishanganj	KISHAN GANJ	_kishan || _ganj
kishibhai	KISHIBHAI	_kishibhai
kishkindha	KISHKINDHA	_kishkindha
kishore	KISHORE	_kishore
kissa	KISSA	_kissa
kit	KIT	_kit
kitchen	KITCHEN	_kitchen
kite	KITE	_kite
klan	KLAN	_klan
klum	KLUM	_klum
klux	KLUX	_klux
km	KM	_km
kn	KN	_kn
knights	KNIGHTS	_knights
knockout	KNOCKOUT	_knockout
knowledge	KNOWLEDGE	_knowledge
ko	KO	_ko
koavf	KOAVF	_koavf
koch	KOCH	_koch
kochi	KOCHI	_kochi
kochrab	KOCHRAB	_kochrab
kodagu	KODAGU	_kodagu
kodaikanal	KODAIKANAL	_kodaikanal
koderma	KODERMA	_koderma
kodiak	KODIAK	_kodiak
kodinar	KODINAR	_kodinar
kodiya	KODIYA	_kodiya
kodki	KODKI	_kodki
koel	KOEL	_koel
kohima	KOHIMA	_kohima
kohl	KOHL	_kohl
kohli	KOHLI	_kohli
kokrajhar	KOKRAJHAR	_kokrajhar
kola	KOLA	_kola
kolaba	KOLABA	_kolaba
kolak	KOLAK	_kolak
kolar	KOLAR	_kolar
kolasib	KOLASIB	_kolasib
kolega2357	KOLEGA2357	_kolega2357
kolhapur	KOLHAPUR	_kolhapur
koli	KOLI	_koli
kolibrios	KOLIBRIOS	_kolibrios
kolkata	KOLKATA	_kolkata
kollam	KOLLAM	_kollam
koloriang	KOLORIANG	_koloriang
kolvi	KOLVI	_kolvi
kom	KOM	_kom
konark	KONARK	_konark
kondi	KONDI	_kondi
kong	KONG	_kong
konkan	KONKAN	_konkan
konkani	KONKANI	_konkani
koppal	KOPPAL	_koppal
koraput	KORAPUT	_koraput
korba	KORBA	_korba
korba,	KORBA,	_korba,
korea	KOREA	_korea
korean	KOREAN	_korean
koregaon	KOREGAON	_koregaon
kori	KORI	_kori
koriya	KORIYA	_koriya
korn	KORN	_korn
kosad	KOSAD	_kosad
kosamba	KOSAMBA	_kosamba
kosambi	KOSAMBI	_kosambi
koshi	KOSHI	_koshi
kosi	KOSI	_kosi
kot	KOT	_kot
kota	KOTA	_kota
kota,	KOTA,	_kota,
kotai	KOTAI	_kotai
kotak	KOTAK	_kotak
koteshwar,	KOTESHWAR,	_koteshwar,
koth,	KOTH,	_koth,
kothara,	KOTHARA,	_kothara,
kothari	KOTHARI	_kothari
kotharia,	KOTHARIA,	_kotharia,
kottayam	KOTTAYAM	_kottayam
koul	KOUL	_koul
kournikova	KOURNIKOVA	_kournikova
kovaya	KOVAYA	_kovaya
kovind	KOVIND	_kovind
koyna	KOYNA	_koyna
kozhikode	KOZHIKODE	_kozhikode
końskowola	KOŃSKOWOLA	_końskowola
kripa	KRIPA	_kripa
krishak	KRISHAK	_krishak
krishan	KRISHAN	_krishan
krishna	KRISHNA	_krishna
krishnadasa	KRISHNA DASA	_krishna || _dasa
krishnagiri	KRISHNA GIRI	_krishna || _giri
krishnalal	KRISHNALAL	_krishnalal
krishnamachari	KRISHNAMACHARI	_krishnamachari
krishnamurti	KRISHNA MURTI	_krishna || _murti
krishnas	KRISHNA +(s)	_krishna +s
krishnavatara	KRISHNAVATARA	_krishnavatara
kritavarma	KRITAVARMA	_kritavarma
krypton	KRYPTON	_krypton
kshamavani	KSHAMAVANI	_kshamavani
kshatriya	KSHATRIYA	_kshatriya
ku	KU	_ku
kuan	KUAN	_kuan
kubera	KUBERA	_kubera
kuchaikote	KUCHAIKOTE	_kuchaikote
kuchipudi	KUCHIPUDI	_kuchipudi
kufri,	KUFRI,	_kufri,
kukarmunda	KUKARMUNDA	_kukarmunda
kukma	KUKMA	_kukma
kuldhara	KULDHARA	_kuldhara
kuldip	KULDIP	_kuldip
kulkarni	KULKARNI	_kulkarni
kullu	KULLU	_kullu
kumaon	KUMAON	_kumaon
kumaoni	KUMAONI	_kumaoni
kumar	KUMAR	_kumar
kumarapala	KUMARAPALA	_kumarapala
kumari	KUMARI	_kumari
kumarpal	KUMARPAL	_kumarpal
kumarsinhji	KUMARSINHJI	_kumarsinhji
kumbh	KUMBH	_kumbh
kumbhakarna	KUMBHAKARNA	_kumbhakarna
kumbhalgarh	KUMBHALGARH	_kumbhalgarh
kumbharia	KUMBHARIA	_kumbharia
kumbhariya,	KUMBHARIYA,	_kumbhariya,
kumbharli	KUMBHARLI	_kumbharli
kumey	KUMEY	_kumey
kunal	KUNAL	_kunal
kund	KUND	_kund
kundanika	KUNDANIKA	_kundanika
kundla	KUNDLA	_kundla
kune	KUNE	_kune
kunj	KUNJ	_kunj
kuntasi	KUNTASI	_kuntasi
kunthunatha	KUNTHUNATHA	_kunthunatha
kunti	KUNTI	_kunti
kupwara	KUPWARA	_kupwara
kuranda	KURANDA	_kuranda
kurien	KURIEN	_kurien
kurnool	KURNOOL	_kurnool
kursi	KURSI	_kursi
kursura	KURSURA	_kursura
kurta	KURTA	_kurta
kurukshetra	KURUKSHETRA	_kurukshetra
kurung	KURUNG	_kurung
kusha	KUSHA	_kusha
kushadhwaja	KUSHADHWAJA	_kushadhwaja
kushinagar	KUSHINAGAR	_kushinagar
kushmanda	KUSHMANDA	_kushmanda
kushok	KUSHOK	_kushok
kusumamala	KUSUMAMALA	_kusumamala
kutch	KUTCH	_kutch
kutchi	KUTCHI	_kutchi
kutchkutch	KUTCH KUTCH	_kutch || _kutch
kutiyana	KUTIYANA	_kutiyana
kuvo	KUVO	_kuvo
kuwait	KUWAIT	_kuwait
kya	KYA	_kya
kyelang	KYELANG	_kyelang
kyrgyzstan	KYRGYZSTAN	_kyrgyzstan
kālidāsa	KĀLIDĀSA	_kālidāsa
kātyāyanī	KĀTYĀYANĪ	_kātyāyanī
kōtoku-in	KŌTOKU IN	_kōtoku || _in
l'aviation	L'AVIATION	_l'aviation
l.	L.	_l.
la	LA	_la
label	LABEL	_label
labelled	LABELLED	_labelled
labhshankar	LABHSHANKAR	_labhshankar
lablab	LABLAB	_lablab
laboratories	LABORATORIES	_laboratories
laboratory	LABORATORY	_laboratory
labour	LABOUR	_labour
labrador	LABRADOR	_labrador
lachhiwala	LACHHIWALA	_lachhiwala
lachit	LACHIT	_lachit
ladakh	LADAKH	_ladakh
ladakhi	LADAKHI	_ladakhi
ladders	LADDERS	_ladders
laddu	LADDU	_laddu
ladol,	LADOL,	_ladol,
lady	LADY	_lady
lagoon	LAGOON	_lagoon
lagos	LAGOS	_lagos
lagyo	LAGYO	_lagyo
lahaul	LAHAUL	_lahaul
lahore	LAHORE	_lahore
laishram	LAISHRAM	_laishram
lajpat	LAJPAT	_lajpat
lakadiya	LAKADIYA	_lakadiya
lake	LAKE	_lake
lakes	LAKE +(s)	_lake +s
lakh	LAKH	_lakh
lakhamandal	LAKHAMANDAL	_lakhamandal
lakhandei	LAKHANDEI	_lakhandei
lakhapadar	LAKHAPADAR	_lakhapadar
lakhimpur	LAKHIMPUR	_lakhimpur
lakhisarai	LAKHISARAI	_lakhisarai
lakhmi	LAKHMI	_lakhmi
lakhpat	LAKHPAT	_lakhpat
lakhtar	LAKHTAR	_lakhtar
lakkundi	LAKKUNDI	_lakkundi
lakshadweep	LAKSHADWEEP	_lakshadweep
lakshagraha	LAKSHAGRAHA	_lakshagraha
lakshamana	LAKSHAMANA	_lakshamana
lakshman	LAKSHMAN	_lakshman
lakshmana	LAKSHMANA	_lakshmana
lakshmeshwara	LAKSHMESHWARA	_lakshmeshwara
lakshmi	LAKSHMI	_lakshmi
lakulish	LAKULISH	_lakulish
lal	LAL	_lal
lala	LALA	_lala
lalbhai	LALBHAI	_lalbhai
lalgarh	LALGARH	_lalgarh
lalitpur	LALITPUR	_lalitpur
lalitpur,	LALITPUR,	_lalitpur,
lalji	LALJI	_lalji
lambha	LAMBHA	_lambha
lamborghini	LAMBORGHINI	_lamborghini
lamjung	LAMJUNG	_lamjung
lampard	LAMPARD	_lampard
lamphelpat	LAMPHELPAT	_lamphelpat
lan	LAN	_lan
land	LAND	_land
landforms	LAND FORMS	_land || _forms
lands	LAND +(s)	_land +s
landslide	LANDSLIDE	_landslide
landsteiner	LANDSTEINER	_landsteiner
lane	LANE	_lane
lang	LANG	_lang
lang-ab	LANG AB	_lang || _ab
lang-am	LANG AM	_lang || _am
lang-ar	LANG AR	_lang || _ar
lang-az	LANG AZ	_lang || _az
lang-bn	LANG BN	_lang || _bn
lang-bo	LANG BO	_lang || _bo
lang-de	LANG DE	_lang || _de
lang-dv	LANG DV	_lang || _dv
lang-el	LANG EL	_lang || _el
lang-en	LANG EN	_lang || _en
lang-es	LANG ES	_lang || _es
lang-fa	LANG FA	_lang || _fa
lang-fi	LANG FI	_lang || _fi
lang-fil	LANG FIL	_lang || _fil
lang-fr	LANG FR	_lang || _fr
lang-grc-gre	LANG GRC GRE	_lang || _grc || _gre
lang-gu	LANG GU	_lang || _gu
lang-he	LANG HE	_lang || _he
lang-hi	LANG HI	_lang || _hi
lang-hy	LANG HY	_lang || _hy
lang-id	LANG ID	_lang || _id
lang-ja	LANG JA	_lang || _ja
lang-km	LANG KM	_lang || _km
lang-kn	LANG KN	_lang || _kn
lang-ky	LANG KY	_lang || _ky
lang-la	LANG LA	_lang || _la
lang-lo	LANG LO	_lang || _lo
lang-ml	LANG ML	_lang || _ml
lang-mol	LANG MOL	_lang || _mol
lang-mr	LANG MR	_lang || _mr
lang-my	LANG MY	_lang || _my
lang-ne	LANG NE	_lang || _ne
lang-nl	LANG NL	_lang || _nl
lang-or	LANG OR	_lang || _or
lang-pa	LANG PA	_lang || _pa
lang-ps	LANG PS	_lang || _ps
lang-rn	LANG RN	_lang || _rn
lang-rom	LANG ROM	_lang || _rom
lang-ru	LANG RU	_lang || _ru
lang-rw	LANG RW	_lang || _rw
lang-sa	LANG SA	_lang || _sa
lang-sd	LANG SD	_lang || _sd
lang-se	LANG SE	_lang || _se
lang-si	LANG SI	_lang || _si
lang-sw	LANG SW	_lang || _sw
lang-ta	LANG TA	_lang || _ta
lang-te	LANG TE	_lang || _te
lang-tg	LANG TG	_lang || _tg
lang-th	LANG TH	_lang || _th
lang-tk	LANG TK	_lang || _tk
lang-tr	LANG TR	_lang || _tr
lang-uz	LANG UZ	_lang || _uz
lang-yi	LANG YI	_lang || _yi
lang-zh	LANG ZH	_lang || _zh
lang/data	LANG/DATA	_lang/data
lang/documentor	LANG/DOCUMENTOR	_lang/documentor
lang/iso	LANG/ISO	_lang/iso
langhnaj	LANGHNAJ	_langhnaj
langkawi	LANGKAWI	_langkawi
language	LANGUAGE	_language
language/codelist	LANGUAGE/CODELIST	_language/codelist
language/data/iana	LANGUAGE/DATA/IANA	_language/data/iana
language/data/iso	LANGUAGE/DATA/ISO	_language/data/iso
language/data/wp	LANGUAGE/DATA/WP	_language/data/wp
language/family-color	LANGUAGE/FAMILY COLOR	_language/family || _color
language/genetic	LANGUAGE/GENETIC	_language/genetic
language/language	LANGUAGE/LANGUAGE	_language/language
language/linguistlist	LANGUAGE/LINGUISTLIST	_language/linguistlist
language/name/data	LANGUAGE/NAME/DATA	_language/name/data
language/notes	LANGUAGE/NOTES	_language/notes
language/quilt	LANGUAGE/QUILT	_language/quilt
language/ref	LANGUAGE/REF	_language/ref
languages	LANGUAGE +(s)	_language +s
langur	LANGUR	_langur
lanka	LANKA	_lanka
lankan	LANKAN	_lankan
lansdowne,	LANSDOWNE,	_lansdowne,
lanthanum	LANTHANUM	_lanthanum
