!	_!
!!	_!!
!((	_!((
!)	_!)
!-	_!-
!mxt	_!mxt
!xt	_!xt
"ignore	_"ignore
kutchi	_kutchi
kutchkutch	_kutch _kutch
kutiyana	_kutiyana
kuvo	_kuvo
kuwait	_kuwait
kya	_kya
kyelang	_kyelang
kyrgyzstan	_kyrgyzstan
kālidāsa	_kālidāsa
kātyāyanī	_kātyāyanī
kōtoku-in	_kōtoku _- _in
l'aviation	_l'aviation
l.	_l.
la	_la
label	_label
labelled	_labelled
labhshankar	_labhshankar
lablab	_lablab
laboratories	_laboratories
laboratory	_laboratory
labour	_labour
labrador	_labrador
lachhiwala	_lachhiwala
lachit	_lachit
ladakh	_ladakh
ladakhi	_ladakhi
ladders	_ladders
laddu	_laddu
ladol,	_ladol,
lady	_lady
lagoon	_lagoon
lagos	_lagos
lagyo	_lagyo
lahaul	_lahaul
lahore	_lahore
laishram	_laishram
lajpat	_lajpat
lakadiya	_lakadiya
lake	_lake
lakes	_lake +s
lakh	_lakh
lakhamandal	_lakhamandal
lakhandei	_lakhandei
lakhapadar	_lakhapadar
lakhimpur	_lakhimpur
lakhisarai	_lakhisarai
lakhmi	_lakhmi
lakhpat	_lakhpat
lakhtar	_lakhtar
lakkundi	_lakkundi
lakshadweep	_lakshadweep
lakshagraha	_lakshagraha
lakshamana	_lakshamana
lakshman	_lakshman
lakshmana	_lakshmana
lakshmeshwara	_lakshmeshwara
lakshmi	_lakshmi
lakulish	_lakulish
lal	_lal
lala	_lala
lalbhai	_lalbhai
lalgarh	_lalgarh
lalitpur	_lalitpur
lalitpur,	_lalitpur,
lalji	_lalji
lambha	_lambha
lamborghini	_lamborghini
lamjung	_lamjung
lampard	_lampard
lamphelpat	_lamphelpat
lan	_lan
land	_land
landforms	_land _forms
lands	_land +s
landslide	_landslide
landsteiner	_landsteiner
lane	_lane
lang	_lang
lang-ab	_lang _- _ab
lang-am	_lang _- _am
lang-ar	_lang _- _ar
lang-az	_lang _- _az
lang-bn	_lang _- _bn
lang-bo	_lang _- _bo
lang-de	_lang _- _de
lang-dv	_lang _- _dv
lang-el	_lang _- _el
lang-en	_lang _- _en
lang-es	_lang _- _es
lang-fa	_lang _- _fa
lang-fi	_lang _- _fi
lang-fil	_lang _- _fil
lang-fr	_lang _- _fr
lang-grc-gre	_lang _- _grc _- _gre
lang-gu	_lang _- _gu
lang-he	_lang _- _he
lang-hi	_lang _- _hi
lang-hy	_lang _- _hy
lang-id	_lang _- _id
lang-ja	_lang _- _ja
lang-km	_lang _- _km
lang-kn	_lang _- _kn
lang-ky	_lang _- _ky
lang-la	_lang _- _la
lang-lo	_lang _- _lo
lang-ml	_lang _- _ml
lang-mol	_lang _- _mol
lang-mr	_lang _- _mr
lang-my	_lang _- _my
lang-ne	_lang _- _ne
lang-nl	_lang _- _nl
lang-or	_lang _- _or
lang-pa	_lang _- _pa
lang-ps	_lang _- _ps
lang-rn	_lang _- _rn
lang-rom	_lang _- _rom
lang-ru	_lang _- _ru
lang-rw	_lang _- _rw
lang-sa	_lang _- _sa
lang-sd	_lang _- _sd
lang-se	_lang _- _se
lang-si	_lang _- _si
lang-sw	_lang _- _sw
lang-ta	_lang _- _ta
lang-te	_lang _- _te
lang-tg	_lang _- _tg
lang-th	_lang _- _th
lang-tk	_lang _- _tk
lang-tr	_lang _- _tr
lang-uz	_lang _- _uz
lang-yi	_lang _- _yi
lang-zh	_lang _- _zh
lang/data	_lang/data
lang/documentor	_lang/documentor
lang/iso	_lang/iso
langhnaj	_langhnaj
langkawi	_langkawi
language	_language
language/codelist	_language/codelist
language/data/iana	_language/data/iana
language/data/iso	_language/data/iso
language/data/wp	_language/data/wp
language/family-color	_language/family _- _color
language/genetic	_language/genetic
language/language	_language/language
language/linguistlist	_language/linguistlist
language/name/data	_language/name/data
language/notes	_language/notes
language/quilt	_language/quilt
language/ref	_language/ref
languages	_language +s
langur	_langur
lanka	_lanka
lankan	_lankan
lansdowne,	_lansdowne,
lanthanum	_lanthanum
lanzan	_lanzan
laos	_laos
laozi	_laozi
lapasari	_lapasari
lara	_lara
large-billed	_large _- _billed
larger	_larger
laridae	_laridae
lark	_lark
larry	_larry
las	_las
laser	_laser
lasius	_lasius
lata	_lata
latehar	_latehar
lath,	_lath,
lathi,	_lathi,
latif	_latif
latin	_latin
latin-language	_latin _- _language
latur	_latur
latvia	_latvia
latvian	_latvian
launch	_launch
laureates	_laureates
lava	_lava
lavani	_lavani
lavji	_lavji
lavkumar	_lavkumar
law	_law
lawngtlai	_lawngtlai
lawrencium	_lawrencium
laxman	_laxman
laxmi	_laxmi
layal	_layal
layer	_layer
layout	_layout
lead	_lead
leader	_leader
league	_league
leaning	_leaning
leap	_leap
least	_least
least-concern	_least _- _concern
leatherback	_leatherback
lebanon	_lebanon
ledger	_ledger
ledo	_ledo
lee	_lee
leeds	_leeds
leela	_leela
leena	_leena
left	_left
left/coast	_left/coast
leg	_leg
legend	_legend
legend0	_legend0
legislative	_legislative
legislature	_legislature
lego	_lego
legume	_legume
legumes	_legume +s
leh	_leh
leicester	_leicester
leinster	_leinster
leishmaniasis	_leishmaniasis
leithii	_leithii
leleti	_leleti
lemon	_lemon
len	_len
len/core	_len/core
lengpui	_lengpui
lenin	_lenin
lentil	_lentil
leo	_leo
leonardo	_leonardo
leone	_leone
leopard	_leopard
leprosy	_leprosy
leptospirosis	_leptospirosis
lesotho	_lesotho
lethal	_lethal
letter/trim	_letter/trim
letters	_letters
leva	_leva
level	_level
levels	_level +s
león	_león
li	_li
libel	_libel
liberia	_liberia
liberty	_liberty
libra	_libra
library	_library
libya	_libya
license	_license
license,	_license,
liechtenstein	_liechtenstein
lien	_lien
lies	_lies
life	_life
lifetime	_life _time
light	_light
light-year	_light _- _year
lighthouse	_light _house
lighthouses	_lighthouse +s
lilapur,	_lilapur,
lillee	_lillee
limbdi	_limbdi
limbhoi	_limbhoi
limbo	_limbo
limbuda	_limbuda
limburg	_limburg
limetta	_limetta
limit	_limit
limited	_limited
limkheda	_limkheda
line	_line
lines	_line +s
lingaraja	_lingaraja
link	_link
link/core	_link/core
link/normal	_link/normal
link/relative	_link/relative
link/secure	_link/secure
link/text	_link/text
links	_link +s
linktext	_link _text
linus	_linus
linux	_linux
lion	_lion
lipid	_lipid
lipstick	_lipstick
lipulekh	_lipulekh
liquid	_liquid
liquid-crystal	_liquid _- _crystal
list	_list
list-style-type	_list _- _style _- _type
list/entry	_list/entry
listen	_listen
listing	_listing
lists	_list +s
lit-stub	_lit _- _stub
literacy	_literacy
literature	_literature
lithium	_lithium
lithuania	_lithuania
lithuanian	_lithuanian
litmus	_litmus
liton	_liton
little	_little
liverpool	_liverpool
living	_living
lixer	_lixer
liège	_liège
loans	_loans
local	_local
location	_location
locho	_locho
lock	_lock
locomotion	_locomotion
locomotive	_locomotive
lodge	_lodge
lodi	_lodi
loftus	_loftus
logicwiki	_logicwiki
logos	_logos
logp	_logp
lohana	_lohana
lohardaga	_lohardaga
lohia	_lohia
lohit	_lohit
lok	_lok
lokanatha	_lokanatha
lokhande	_lokhande
lonar	_lonar
lonavla	_lonavla
london	_london
long	_long
longewala	_longewala
longifolia	_longifolia
longifrons	_longifrons
longitem	_long _item
longleng	_longleng
longlisted	_longlisted
lookup	_lookup
loop	_loop
lordship	_lordship
lorem	_lorem
los	_los
loss	_los +s
lota	_lota
loteshwar	_loteshwar
lothal	_lothal
lotus	_lotus
louis	_louis
louise	_louise
louisiana	_louisiana
love	_love
lovji	_lovji
lovysinghal	_lovysinghal
lower	_lower
lowercase	_lower _case
lt	_lt
ltd.	_ltd.
lua	_lua
lucien	_lucien
luckas-bot	_luckas _- _bot
lucknow	_lucknow
lucpol	_lucpol
ludhiana	_ludhiana
lug	_lug
luhar	_luhar
luis	_luis
lumbini	_lumbini
lunar	_lunar
lunavada	_lunavada
lunej	_lunej
lung	_lung
lunglei	_lunglei
luni	_luni
lutetium	_lutetium
luther	_luther
lux	_lux
luxembourg	_luxembourg
lv	_lv
lx	_lx
lychee	_lychee
lymph	_lymph
lyricist	_lyricist
lytov	_lytov
lzh	_lzh
løve	_løve
m.	_m.
maa	_maa
maas	_maa +s
mabifixem	_mabifixem
macaque	_macaque
macau	_macau
macedonia	_macedonia
machchhu	_machchhu
machchundri	_machchundri
machhlivad	_machhlivad
machilipatnam	_machilipatnam
machine	_machine
machu	_machu
macmurdo's	_macmurdo's
macrocarpus	_macrocarpus
macrolepis	_macrolepis
macrotyloma	_macrotyloma
macwan	_macwan
mada	_mada
madagascar	_madagascar
madakari	_madakari
madame	_madame
madan	_madan
madanna	_madanna
madeira	_madeira
madh	_madh
madhapar	_madhapar
madhav	_madhav
madhava	_madhava
madhavav	_madhavav
madhavpur	_madhavpur
madhavsinh	_madhavsinh
madhepura	_madhepura
madhmeshwar	_madhmeshwar
madhopur	_madhopur
madhu	_madhu
madhubala	_madhubala
madhubani	_madhu _bani
madhubani,	_madhubani,
madhubhai	_madhu _bhai
madhuca	_madhuca
madhuri	_madhuri
madhusudan	_madhu _sudan
madhya	_madhya
madhyamaheshwar	_madhyamaheshwar
madia	_madia
madikeri	_madikeri
madras	_madras
madri	_madri
madurai	_madurai
maenam	_maenam
mafat	_mafat
mafatlal	_mafatlal
magadh	_magadh
magahi	_magahi
magaj	_magaj
magazine	_magazine
magazines	_magazine +s
magdalla	_magdalla
magderu	_magderu
magh	_magh
maghval	_maghval
magic	_magic
magnesium	_magnesium
magnetic	_magnetic
magnitude	_magnitude
magnolia	_magnolia
magod	_magod
magodi	_magodi
magpie-robin	_magpie _- _robin
maha	_maha
mahabaleshwar	_maha _baleshwar
mahabat	_mahabat
mahabharata	_mahabharata
mahabodhi	_mahabodhi
mahadeo	_mahadeo
mahadev	_mahadev
mahadevan	_mahadevan
mahadevi	_maha _devi
mahagauri	_maha _gauri
mahagujarat	_maha _gujarat
mahajan	_mahajan
mahakaleshwar	_mahakaleshwar
mahakali	_mahakali
mahal	_mahal
mahalakshmi	_maha _lakshmi
mahalaya	_mahalaya
mahanadi	_mahanadi
mahaprabhu	_mahaprabhu
mahar	_mahar
maharaj	_maharaj
maharaja	_maha _raja
maharajganj	_maharaj _ganj
maharana	_maha _rana
maharashtra	_maharashtra
maharashtrian	_maharashtrian
maharishi	_maharishi
mahasamund	_mahasamund
mahasweta	_mahasweta
mahatma	_mahatma
mahavir	_mahavir
mahavira	_mahavira
mahbubnagar	_mahbubnagar
mahdibot	_mahdibot
mahemdavad	_mahemdavad
mahendragarh	_mahendragarh
mahendralal	_mahendralal
mahesh	_mahesh
mahi	_mahi
mahidharpura	_mahidharpura
mahindra	_mahindra
mahipati	_mahipati
mahipatram	_mahipatram
mahisa	_mahisa
mahisagar	_mahi _sagar
mahishasura	_mahishasura
mahishmati	_mahishmati
mahmud	_mahmud
mahoba	_mahoba
mahobatpara	_mahobatpara
mahrajganj,	_mahrajganj,
mahudha	_mahudha
mahudi	_mahudi
mahuli	_mahuli
mahuva,	_mahuva,
mahuvar	_mahuvar
mahé	_mahé
mahé,	_mahé,
maidan	_maidan
maidens	_maidens
mail	_mail
main	_main
maine	_maine
mainpuri	_main _puri
maintenance	_maintenance
maio	_maio
maithili	_maithili
maitraka	_maitraka
maize	_maize
majhalumi	_majhalumi
majilpur	_majilpur
majlis-e-ittehadul	_majlis _- _e _- _ittehadul
major	_major
majuli	_majuli
majumdar	_majumdar
makaji	_makaji
makar	_makar
makarand	_makarand
makardhwaja	_makardhwaja
makecat	_makecat
makemake	_makemake
makhanlal	_makhanlal
makhdoom	_makhdoom
makkhali	_makkhali
makli	_makli
makrani	_makrani
maktampur	_maktampur
maktupur	_maktupur
mal	_mal
mala	_mala
malabar	_malabar
malabari	_malabari
malad	_malad
malala	_malala
malan	_malan
malappuram	_malappuram
malaria	_malaria
malaviya	_malaviya
malawi	_malawi
malayalam	_malayalam
malayalam-language	_malayalam _- _language
malaysia	_malaysia
malda	_malda
maldhari	_maldhari
maldives	_maldives
male	_male
malegaon	_malegaon
malela	_malela
malformed	_malformed
malgadh	_malgadh
malhotra	_malhotra
mali	_mali
malkangiri	_malkangiri
malkoha	_malkoha
mallakhamba	_mallakhamba
mallika	_mallika
mallikarjuna	_mallikarjuna
malnutrition	_malnutrition
malpur	_malpur
malta	_malta
malva	_malva
malvi	_malvi
malwan	_malwan
mamallapuram	_mamallapuram
mamit	_mamit
mamluk	_mamluk
mammals	_mammals
mammootty	_mammootty
mamta	_mamta
mamuara	_mamuara
man	_man
man-made	_man _- _made
mana	_mana
management	_management
managers	_managers
manali	_manali
manali,	_manali,
manang	_manang
manas	_mana +s
manasarovar	_mana _sarovar
manav	_manav
manavadar	_manavadar
manchester	_manchester
manda,	_manda,
mandal	_mandal
mandal,	_mandal,
mandapeshwar	_mandapeshwar
mandavi	_mandavi
mandeali	_mandeali
mandela	_mandela
mandhata	_mandhata
mandi	_mandi
mandi,	_mandi,
mandir	_mandir
mandir,	_mandir,
mandira	_mandira
mandla	_mandla
mandodari	_mandodari
mandovi	_mandovi
mandsaur	_mandsaur
mandva	_mandva
mandvi	_mandvi
mandya	_mandya
manek	_manek
maneklal	_maneklal
manekshaw	_manek _shaw
mangal	_mangal
mangala	_mangala
mangaldoi	_mangaldoi
mangalore	_mangalore
mangan,	_mangan,
manganese	_manganese
mangeshkar	_mangeshkar
mangifera	_mangifera
mangrol,	_mangrol,
manhar	_manhar
manhattan	_manhattan
mani	_mani
maniar	_maniar
maniben	_maniben
manibhai	_mani _bhai
manilal	_manilal
manilkara	_manilkara
maninagar	_mani _nagar
maninder	_maninder
manipur	_manipur
manipuri	_mani _puri
manitoba	_manitoba
manjal	_manjal
manjira	_manjira
manjrekar	_manjrekar
manjul	_manjul
mankad	_mankad
manmohan	_manmohan
manna	_manna
manohar	_manohar
manoharan	_manoharan
manoj	_manoj
mansa	_mansa
mansa,	_mansa,
mansingh	_mansingh
mansinh	_mansinh
mansukhlal	_mansukhlal
mansuri	_mansuri
mantar,	_mantar,
manto	_manto
mantra	_mantra
mantras	_mantra +s
mantri	_mantri
manu	_manu
manubhai	_manubhai
manubot	_manubot
manufacturers	_manufacturers
manumg	_manumg
manvendra	_manvendra
manvini	_manvini
maota	_maota
map	_map
map+	_map+
map/data	_map/data
map/data/afghanistan	_map/data/afghanistan
map/data/africa	_map/data/africa
map/data/bolivia	_map/data/bolivia
map/data/cambodia	_map/data/cambodia
map/data/canada	_map/data/canada
map/data/earth	_map/data/earth
map/data/france	_map/data/france
map/data/india	_map/data/india
map/data/karnataka	_map/data/karnataka
map/data/mali	_map/data/mali
map/data/nepal	_map/data/nepal
map/data/nevada	_map/data/nevada
map/data/norway	_map/data/norway
map/data/usa	_map/data/usa
map/decdeg	_map/decdeg
map/info	_map/info
map/mapname	_map/mapname
map/multi	_map/multi
mapbox	_mapbox
mapframe	_mapframe
mapframe/wikidata	_mapframe/wikidata
maplink	_maplink
maps	_map +s
map~	_map~
maqbara	_maqbara
maratha	_maratha
marathi	_marathi
marathi-language	_marathi _- _language
marathon	_marathon
marble	_marble
march	_march
marco	_marco
mareez	_mareez
marek69	_marek69
margarine	_margarine
mariana	_mariana
marichi	_marichi
marine	_marine
marino	_marino
maritima	_maritima
mariupol	_mariupol
mark	_mark
markahershberger	_markahershberger
markand	_markand
marked	_marked
market	_market
marketing	_marketing
markup	_markup
marleshwar	_marleshwar
marmelos	_marmelos
maroli	_maroli
marriage	_marriage
mars	_mars
marsh	_marsh
marshall	_marshall
martial	_martial
martin	_martin
maru	_maru
maruti	_maruti
marvel	_marvel
marvé	_marvé
mary	_mary
mary's	_mary's
mary,	_mary,
maryland	_mary _land
masala	_masala
masekela	_masekela
masjid	_masjid
masjid,	_masjid,
masked	_masked
mass	_mass
massachusetts	_massachusetts
massacre	_massacre
mastani	_mastani
masti	_masti
masturbation	_masturbation
mata	_mata
mata,	_mata,
matana	_matana
matar,	_matar,
mataram	_mataram
match	_match
math	_math
mathematica	_mathematica
mathematicians	_mathematicians
mathematics	_mathematics
matheran	_matheran
mathura	_mathura
matka	_matka
matsya	_matsya
matsyendra	_matsyendra
mattarella	_mattarella
matthew	_matthew
mau	_mau
mauritania	_mauritania
mauritius	_mauritius
maurya	_maurya
mausam	_mausam
mavalankar	_mavalankar
mavji	_mavji
mavjinjava	_mavjinjava
mawlynnong	_mawlynnong
maxval	_maxval
may	_may
maya	_maya
mayank	_mayank
mayasura	_mayasura
mayawati	_mayawati
mayurasana	_mayurasana
mayurasharma	_mayurasharma
mayurbhanj	_mayurbhanj
mazum	_mazum
mazumdar	_mazumdar
mazumdar-shaw	_mazumdar _- _shaw
mbox	_mbox
mcdermott	_mcdermott
mdy	_mdy
means	_means
measurement	_measurement
mecca	_mecca
mechanical	_mechanical
mechanised	_mechanised
mechi	_mechi
medak	_medak
medal	_medal
medalbottom	_medal _bottom
medalbronze	_medalbronze
medalcompetition	_medal _competition
medalcountry	_medal _country
medalgold	_medal _gold
medalists	_medalists
medalsilver	_medal _silver
medalsport	_medal _sport
medaltabletop	_medaltabletop
media	_media
medical	_medical
medicaments	_medicaments
medicinal	_medicinal
medicine	_medicine
medina	_medina
meditation	_meditation
medu	_medu
meer	_meer
meera	_meera
meerut	_meerut
meetup	_meetup
meghalaya	_meghalaya
meghani	_meghani
meghna	_meghna
meghnad	_meghnad
meghpar	_meghpar
meghpar,	_meghpar,
meghpur,	_meghpur,
meghraj	_meghraj
mehboob	_mehboob
mehdi	_mehdi
meherally	_meherally
mehndi	_mehndi
mehrangarh	_mehrangarh
mehsana	_mehsana
mehta	_mehta
mehwa	_mehwa
mein	_mein
meira	_meira
meitei	_meitei
meitnerium	_meitnerium
mekan	_mekan
mela	_mela
melatonin	_melatonin
melbourne	_melbourne
melilotus	_melilotus
mellitus	_mellitus
member	_member
members	_member +s
memorial	_memorial
memory	_memory
mendarda	_mendarda
mendelevium	_mendelevium
meneerke	_meneerke
menmecho	_menmecho
menobot	_menobot
mental	_mental
mentha	_mentha
mer	_mer
mera	_mera
merchant	_merchant
mercury	_mercury
mercy	_mercy
merge	_merge
mermaid	_mermaid
merriam-webster	_merriam _- _webster
merv	_merv
mesopotamia	_mesopotamia
message	_message
messages	_message +s
met	_met
metabolic	_metabolic
metabolism	_metabolism
metal	_metal
metalgearliquid	_metalgearliquid
metalloid	_metalloid
metallurgy	_metallurgy
meteoroid	_meteoroid
methane	_methane
metre	_metre
metro	_metro
metro-link	_metro _- _link
metropolitan	_metropolitan
mevani	_mevani
mewat	_mewat
mexican	_mexican
mexico	_mexico
mg	_mg
mia	_mia
miami	_miami
micchami	_micchami
michael	_michael
michelson	_michelson
michigan	_michigan
michoacán	_michoacán
mickey	_mickey
microeconomics	_microeconomics
microfinance	_microfinance
microformat	_microformat
microformats	_microformat +s
micronesia	_micronesia
microsoft	_microsoft
midas	_midas
middle	_middle
midnapore	_midnapore
midwives'	_midwives'
migraine	_migraine
migration	_migration
mihira	_mihira
mika	_mika
mikao	_mikao
mikhalenko	_mikhalenko
milan	_milan
mile	_mile
miley	_miley
military	_military
milk	_milk
milkha	_milkha
milky	_milky
millet	_millet
million-plus	_million _- _plus
millionaire	_millionaire
millstone	_millstone
mimosa	_mimosa
mimsy-porpington	_mimsy _- _porpington
minar	_minar
mindha	_mindha
mindhola	_mindhola
mindiyana	_mindiyana
minh	_minh
minister	_minister
ministers	_minister +s
minivet	_minivet
minneapolis	_minneapolis
minnesota	_minnesota
minor	_minor
minoti	_minoti
mira	_mira
mirik	_mirik
mirwaiz	_mirwaiz
mirza	_mirza
mirzapur	_mirzapur
misal	_misal
mishkín-qalam	_mishkín _- _qalam
mishra	_mishra
misra	_misra
miss	_miss
missing	_missing
mission	_mission
mississippi	_mississippi
missouri	_missouri
mistri	_mistri
mistry	_mistry
mithapur	_mithapur
mithavirana	_mithavirana
mithi	_mithi
mithridates	_mithridates
mithuben	_mithuben
mithun	_mithun
mitiyala	_mitiyala
mitiyativali	_mitiyativali
mittal	_mittal
mitti	_mitti
mittra	_mittra
mitul0520	_mitul0520
mix	_mix
miya	_miya
mizo	_mizo
mizoram	_mizoram
mli	_mli
mo	_mo
mobile	_mobile
mod	_mod
modak	_modak
modasa	_modasa
model	_model
modhera	_modhera
modheshwari	_modheshwari
modi	_modi
module	_module
modules	_module +s
mody	_mody
moga	_moga
moga,	_moga,
mohammad	_mohammad
mohammed	_mohammed
mohan	_mohan
mohenjo-daro	_mohenjo _- _daro
mohinder	_mohinder
mohiniyattam	_mohiniyattam
moiramoira	_moiramoira
mojo	_mojo
mokhadaji	_mokhadaji
mokokchung	_mokokchung
moksha	_moksha
mokshada	_mokshada
moldavian	_moldavian
moldova	_moldova
molineux	_molineux
mollusca	_mollusca
molossia	_molossia
molurus	_molurus
molybdenum	_molybdenum
momentum	_momentum
momo	_momo
momordica	_momordica
mon	_mon
monaco	_monaco
monarch	_monarch
monastery	_monastery
monday	_monday
mongia	_mongia
mongolia	_mongolia
monil	_monil
monitor	_monitor
moniya	_moniya
monkey	_monkey
mono	_mono
monorail	_mono _rail
monosperma	_monosperma
monsoon	_monsoon
montage	_montage
montagu's	_montagu's
montana	_montana
monte	_monte
montenegro	_montenegro
month	_month
month/2015	_month/2015
monthname	_month _name
monthnumber	_month _number
months	_month +s
monument	_monument
monuments	_monument +s
moon	_moon
moons	_moon +s
moor	_moor
mor	_mor
mora	_mora
moradabad	_moradabad
morari	_morari
morarjee	_morarjee
morarji	_morarji
morbi	_morbi
more	_more
morelos	_morelos
morena	_morena
morgar	_morgar
mori	_mori
morigaon	_morigaon
morni	_morni
morocco	_morocco
morse	_morse
morvada	_morvada
morvi	_morvi
moscow	_moscow
moses	_moses
mosque	_mosque
mosque,	_mosque,
most	_most
mota	_mota
motera	_motera
mothala,	_mothala,
mother	_mother
motherboard	_mother _board
moti	_moti
motibanugar	_motibanugar
motihari	_moti _hari
motilal	_motilal
motion	_motion
motisar	_motisar
mottos	_mottos
mound-building	_mound _- _building
mount	_mount
mountain	_mountain
mountain/convert	_mountain/convert
mountains	_mountain +s
mouse	_mouse
moushumi	_moushumi
moustache	_moustache
move	_move
move/dated	_move/dated
movember	_movember
movement	_movement
movietone	_movietone
moviya	_moviya
mozambique	_mozambique
mozart	_mozart
mp	_mp
mp3	_mp3
mr	_mr
mridula	_mridula
mrinal	_mrinal
mrinalini	_mrinalini
ms	_ms
muammar	_muammar
muazzam	_muazzam
mubarak	_mubarak
mucuna	_mucuna
mudana	_mudana
mudgal	_mudgal
mudrā	_mudrā
mugger	_mugger
mughal	_mughal
mughalsarai	_mughalsarai
mugu	_mugu
muhammad	_muhammad
muhurta	_muhurta
mujpur	_mujpur
mukerji	_mukerji
mukesh	_mukesh
mukha	_mukha
mukherjee	_mukherjee
mukti	_mukti
muktsar	_muktsar
mukund	_mukund
mularaja	_mularaja
muli,	_muli,
mulji	_mulji
mulshankar	_mulshankar
multichill	_multichill
multimeter	_multimeter
multiple	_multiple
multiplication	_multiplication
mulund	_mulund
mumba	_mumba
mumbai	_mumbai
mumbaikar	_mumbaikar
mummy	_mummy
mumtaz	_mumtaz
munda	_munda
mundari	_mundari
mundeshwari	_mundeshwari
mundra	_mundra
mung	_mung
mungeli	_mungeli
munger	_munger
mungo	_mungo
muni	_muni
munich	_munich
municipal	_municipal
munisuvrata	_munisuvrata
munmun	_munmun
munnar	_munnar
munnetra	_munnetra
munshi	_munshi
munster	_munster
muntingia	_muntingia
murabba	_murabba
murakami	_murakami
muraqqa	_muraqqa
muro	_muro
murshidabad	_murshidabad
murti	_murti
musa	_musa
muscle	_muscle
museum	_museum
mushalpur	_mushalpur
mushtaq	_mushtaq
music	_music
music#traditional	_music#traditional
musical	_musical
musicians	_musicians
musk	_musk
muslim	_muslim
muslimeen	_muslimeen
muslims	_muslim +s
mussoorie	_mussoorie
mustafa	_mustafa
mustard	_mustard
muthia	_muthia
mutilation	_mutilation
mutual	_mutual
muzaffar	_muzaffar
muzaffarids	_muzaffarids
muzaffarnagar	_muzaffar _nagar
muzaffarpur	_muzaffarpur
mwl	_mwl
mxt	_mxt
my	_my
myanmar	_myanmar
myna	_myna
myocardial	_myocardial
mysore	_mysore
myth	_myth
mythological	_mythological
mythology	_mythology
myxa	_myxa
méxico	_méxico
mössbauer	_mössbauer
māllīnātha	_māllīnātha
n.	_n.
n/a	_n/a
naam	_naam
nabarangpur	_nabarangpur
nabhi	_nabhi
nachiketa	_nachiketa
nadal	_nadal
nadapa	_nadapa
nadia	_nadia
nadiad	_nadiad
nadu	_nadu
nag	_nag
naga	_naga
nagadiya	_nagadiya
nagaland	_nagaland
nagalpar,	_nagalpar,
nagalpur,	_nagalpur,
nagao	_nagao
nagapattinam	_nagapattinam
nagar	_nagar
nagasaki	_nagasaki
nagaur	_nagaur
nagda,	_nagda,
nagendra	_nagendra
nageshvara	_nageshvara
nagindas	_nagindas
nagmati	_nagmati
nagor	_nagor
nagpur	_nagpur
nagwada	_nagwada
nahargarh	_nahargarh
naidu	_naidu
naik	_naik
nail	_nail
naina	_naina
nainital	_nainital
naipaul	_naipaul
nair	_nair
nakar	_nakar
nakhatrana	_nakhatrana
nakkash	_nakkash
nako	_nako
nakula	_nakula
nal	_nal
nalanda	_nalanda
nalbari	_nalbari
nalgonda	_nalgonda
nalin	_nalin
naliya	_naliya
nallah	_nallah
nama	_nama
namak	_namak
namaskār	_namaskār
namchi	_namchi
namdapha	_namdapha
namdev	_namdev
name	_name
name/categories	_name/categories
names	_name +s
namespace	_name _space
namgyel	_namgyel
namibia	_namibia
namika	_namika
naminatha	_naminatha
namitha	_namitha
namokar	_namokar
namur	_namur
nana	_nana
nanabhai	_nanabhai
nanak	_nanak
nanakshahi	_nanak _shahi
nanalal	_nanalal
nanda	_nanda
nandakini	_nandakini
nandaprayag	_nanda _prayag
nandarkha	_nandarkha
nanded	_nanded
nandesari	_nandesari
nandita	_nandita
nandshankar	_nandshankar
nandur	_nandur
nandurbar	_nandurbar
nani	_nani
nanichher	_nani _chher
nanji	_nanji
nankhatai	_nankhatai
nano	_nano
nanosana	_nanosana
nanpura	_nanpura
naomi	_naomi
naoroji	_naoroji
napoleon	_napoleon
naqsh-e	_naqsh _- _e
nara	_nara
narada	_narada
narain	_narain
naraka	_naraka
narasimha	_narasimha
narayan	_narayan
narayani	_narayani
narayanprasaddasji	_narayanprasaddasji
narendra	_narendra
naresh	_naresh
nargis	_nargis
nargol	_nargol
narhari	_narhari
narichana	_narichana
narmad	_narmad
narmada	_narmada
narnala	_narnala
narrative	_narrative
narsanda	_narsanda
narsinghpur	_narsinghpur
narsinh	_narsinh
narsinhrao	_narsinhrao
nasa	_nasa
nasdaq	_nasdaq
nashik	_nashik
nasiruddin	_nasiruddin
nasreddin	_nasreddin
nasvadi	_nasvadi
nath	_nath
nathjidada	_nathjidada
nathu	_nathu
nathuram	_nathuram
national	_national
nationale	_nationale
nationalist	_nationalist
nationality	_nationality
nations	_nations
native	_native
natural	_natural
naturalis	_naturalis
nature	_nature
naturopathy	_naturopathy
natwarsinhji	_natwarsinhji
natya	_natya
nauru	_nauru
naushad	_naushad
nava	_nava
navadurga	_nava _durga
navadurgas	_navadurga +s
navagadh	_navagadh
navagamghed	_navagamghed
navaghana	_nava _ghana
navagraha	_navagraha
naval	_naval
navalgadh	_navalgadh
navalram	_navalram
navami	_navami
navapur	_navapur
navaratri	_navaratri
navasana	_navasana
navbar	_navbar
navbar-collapsible	_navbar _- _collapsible
navbox	_navbox
navdeep	_navdeep
naveen	_naveen
navghan	_navghan
navi	_navi
navigation	_navigation
navjot	_navjot
navnath	_navnath
navnirman	_navnirman
navodaya	_navodaya
navsari	_navsari
navy	_navy
navy/core	_navy/core
nawal	_nawal
nawalparasi	_nawalparasi
nawanagar	_nawanagar
nawaz	_nawaz
