!	_!
"	_"
moruzzo	_moruzzo
morval	_morv +al
morvedre	_morvedre
morville	_mor +ville
morville-lès-vic	_mor +ville _- _lès _- _vic
morville-sur-andelle	_mor +ville _- _sur _- _andelle
morville-sur-nied	_mor +ville _- _sur _- _nied
morville-sur-seille	_mor +ville _- _sur _- _seille
mory	_mory
moryantsi	_moryantsi
moréac	_moréac
moréas	_moréas
moríñigo	_moríñigo
morón	_morón
mos	_mos
mosaic	_mosaic
mosasaur	_mosasaur
mosby	_mosby
mosca	_mosca
moscardón	_moscardón
moscazzano	_moscazzano
moschatellina	_moschatellina
moschendorf	_moschendorf
moschiano	_moschiano
mosciano	_mosciano
moscovium	_moscovium
moscow	_moscow
moscufo	_moscufo
moseley	_moseley
moselle	_moselle
mosen	_mos +en
moser	_mos +er
moses	_moses
mosezzo	_mosezzo
moshchena	_moshchena
moshtanets	_moshtanets
mosier	_mosier
mosin-nagant	_mos +in _- _nagant
mosjoukine	_mosjoukine
moskovitz	_moskovitz
moskva	_moskva
moskvityanin	_moskvityanin
mosles	_mosles
mosley	_mosley
mosnang	_mosnang
mosque	_mosque
mosque-cathedral	_mosque _- _cathedral
mosqueruela	_mosqueruela
mosques	_mosque +s
mosquito	_mosquito
mosquitofish	_mosquito _fish
moss	_mos +s
mossa	_mos +s +a
mossano	_mos +s +ano
mossautal	_mossautal
mosset	_mosset
mosshart	_mos +s _hart
mosso	_mos +s +o
mosson	_mosson
mossoró	_mossoró
mossâmedes	_mossâmedes
most	_most
mostar	_most +ar
mostardas	_mostardas
mosteirô	_mosteirô
mostly	_most +ly
mosto	_most +o
mosul	_mosul
mota	_mota
motacillidae	_motacillidae
motel	_motel
moth	_moth
mother	_moth +er
motherboard	_moth +er _board
mothercare	_moth +er _care
mothern	_mothern
motier	_motier
motif	_motif
motilla	_motilla
motion	_motion
motions	_motion +s
motivated	_motivat +ed
motivating	_motivat +ing
motivation	_motivation
motivational	_motivation +al
motivations	_motivation +s
motivator	_motivator
motive	_motive
motives	_motive +s
motley	_motley
motoball	_motoball
motoo	_motoo
motor	_motor
motorcycle	_motor _cycle
motorola	_motorola
motors	_motor +s
motorsport	_motor _sport
motreff	_motreff
motta	_mott +a
mottafollone	_mottafollone
mottalciata	_mottalciata
motte	_motte
motte-fouquet	_motte _- _fouquet
motte-saint-jean	_motte _- _saint _- _jean
motte-ternant	_motte _- _ternant
motteggiana	_motteggiana
motten	_mott +en
motteville	_motte +ville
motto	_mott +o
mottola	_mottola
motuca	_motuca
mouacourt	_mouacourt
mouaville	_mouaville
mouazé	_mouazé
mouche	_mouche
mouchin	_mouchin
moudeyres	_moudeyres
mouen	_mouen
mouettes	_mouettes
mouffy	_mouffy
mouflaines	_mouflaines
mouflon	_mouflon
mouguerre	_mouguerre
mouhous	_mouhous
mouillac	_mouillac
mouilly	_mouilly
moulainville	_moulainville
mouleydier	_mouleydier
moulicent	_moulicent
mouliets-et-villemartin	_mouliets _- _et _- _ville ⧺mar _tin
moulin-neuf	_moulin _- _neuf
moulineaux	_moulin _eaux
moulines	_moulines
moulinet	_moulinet
moulins	_moulin +s
moulins-en-tonnerrois	_moulin +s _- _en _- _tonnerrois
moulins-engilbert	_moulin +s _- _engilbert
moulins-la-marche	_moulin +s _- _la _- ⧺mar _che
moulins-lès-metz	_moulin +s _- _lès _- _metz
moulins-saint-hubert	_moulin +s _- _saint _- _hubert
moulins-sur-orne	_moulin +s _- _sur _- _orne
moulins-sur-ouanne	_moulin +s _- _sur _- _ouanne
moulis-en-médoc	_moulis _- _en _- _médoc
moulle	_moulle
moulon	_moulon
moulotte	_moulotte
moult	_moult
moulton	_moul +ton
moultonborough	_moul +ton _borough
moulès-et-baucels	_moulès _- _et _- _baucels
moulézan	_moulézan
moumié	_moumié
moumour	_moumour
mound	_mound
moundou	_moundou
mounds	_mound +s
moundville	_mound +ville
mount	_mount
mountain	_mountain
mountaineering	_mountaineering
mountains	_mountain +s
mountainside	_mountain _side
mountbatten	_mount _batt +en
mounting	_mount +ing
moura	_mour +a
mouradgea	_mouradgea
moure	_moure
mourens	_mourens
mourenx	_mourenx
mouriez	_mouriez
mourinho	_mourinho
mourioux-vieilleville	_mourioux _- _vieille +ville
mouriscas	_mouriscas
mourjou	_mourjou
mouro	_mour +o
mouron-sur-yonne	_mouron _- _sur _- _yonne
mouros	_mour +o +s
mouroux	_mouroux
mours	_mour +s
mourão	_mourão
mourèze	_mourèze
mouscardès	_mouscardès
mouse	_mouse
mousepad	_mousepad
moussa	_mouss +a
moussac	_moussac
moussages	_mouss _age +s
moussan	_mouss +an
mousseaux-lès-bray	_mouss _eaux _- _lès _- _bray
mousseaux-neuville	_mouss _eaux _- _neu +ville
mousseaux-sur-seine	_mouss _eaux _- _sur _- _seine
moussey	_mouss +ey
mousson	_mousson
moussonvilliers	_mousson _villiers
moussoulens	_moussoulens
moussy	_moussy
moussy-le-neuf	_moussy _- _le _- _neuf
moussy-le-vieux	_moussy _- _le _- _vieux
moussé	_moussé
moustached	_moustached
mousterian	_mousterian
moustey	_moustey
moustier	_moustier
moustier-en-fagne	_moustier _- _en _- _fagne
moustier-ventadour	_moustier _- _vent _adour
moustoir	_moustoir
moustoir-ac	_moustoir _- _ac
moustoir-remungol	_moustoir _- _remungol
moustéru	_moustéru
mouterhouse	_mouterhouse
mouth	_mouth
mouthier-en-bresse	_mouthier _- _en _- _bresse
mouthoumet	_mouthoumet
mouthpieces	_mouthpieces
moutier-d	_moutier _- _d
moutier-malcard	_moutier _- _malcard
moutier-rozeille	_moutier _- _rozeille
moutiers	_moutier +s
moutiers-au-perche	_moutier +s _- _au _- _perche
moutiers-en-auge	_moutier +s _- _en _- _auge
moutiers-en-cinglais	_moutier +s _- _en _- _cinglais
moutiers-en-puisaye	_moutier +s _- _en _- _puisaye
moutiers-hubert	_moutier +s _- _hubert
moutiers-saint-jean	_moutier +s _- _saint _- _jean
moutinho	_moutinho
moutrot	_moutrot
mouvaux	_mouvaux
moux	_moux
moux-en-morvan	_moux _- _en _- _morv +an
mouy-sur-seine	_mouy _- _sur _- _seine
mouzay	_mouzay
mouzens	_mouzens
movable-type	_movable _- _type
movchan	_movchan
move	_move
moveable	_move _able
moved	_mov +ed
movement	_movement
movements	_movement +s
mover	_mov +er
moves	_move +s
movie	_movie
moville	_moville
moving	_mov +ing
movistar	_movistar
movses	_movses
mowgli	_mowgli
moxa	_moxa
moya	_moya
moyaux	_moyaux
moyemont	_moyemont
moyen	_moyen
moyen-comoé	_moyen _- _comoé
moyenmoutier	_moyen _moutier
moyenneville	_moyen _neville
moyenvic	_moyenvic
moyeuvre-grande	_moyeuvre _- _grande
moyeuvre-petite	_moyeuvre _- _petite
moyie	_moyie
moyon	_moyon
moyuela	_moyuela
moyva	_moyva
moyá	_moyá
moz	_moz
mozambican	_mozambican
mozambique	_mozambique
mozarlândia	_mozarlândia
mozart	_mozart
mozelos	_mozelos
mozhaysk	_mozhaysk
mozhaysky	_mozhaysky
mozota	_mozota
mozzagrogna	_mozzagrogna
mozzanica	_mozzanica
mozzano	_mozz +ano
mozzarella	_mozzarella
mozzate	_mozzate
mozzecane	_mozzecane
mozzo	_mozz +o
mozárbez	_mozárbez
moçarria	_moçarria
moëlan-sur-mer	_moëlan _- _sur _- _mer
moëres	_moëres
moïta	_moïta
mošovce	_mošovce
mp	_mp
mp5	_mp5
mr	_mr
mr.	_mr.
mrahori	_mrahori
mrakovo	_mrakovo
mramor	_mramor
mras-su	_mras _- _su
mrazetsi	_mrazetsi
mrezhichko	_mrezhichko
mriya	_mriya
mrs.	_mrs.
mrt	_mrt
mrtt	_mrtt
ms	_ms
ms-13	_ms _- _13
ms-dos	_ms _- _dos
ms-n	_ms _- _n
msie	_msie
mskyrider	_mskyrider
mstislav	_mstislav
msu	_msu
msv	_msv
mt	_mt
mtr	_mtr
mtva	_mtva
mu	_mu
muadh	_muadh
muammar	_muammar
muaná	_muaná
muawiya	_muawiya
muawiyah	_muawiyah
mubarak	_mubarak
mucajaí	_mucajaí
mucambo	_mucambo
muccia	_muccia
muceniece	_muceniece
much	_much
much-ballyhooed	_much _- _ballyhooed
much-maligned	_much _- _malign +ed
much-needed	_much _- _need +ed
muchachos	_muchachos
muchedent	_muchedent
muchow	_muchow
muckendorf-wipfing	_muckendorf _- _wipfing
muckraking	_muckraking
mucous	_mucous
mucugê	_mucugê
mucuri	_mucuri
mucurici	_mucurici
mucus	_mucus
mud	_mud
mudaison	_mudaison
muddle	_muddle
muddle-through	_muddle _- _through
muddling	_muddl +ing
mudela	_mudela
mudrets	_mudrets
muduex	_muduex
mudyl	_mudyl
muel	_muel
muela	_muel +a
mueller	_muell +er
muespach	_muespach
muespach-le-haut	_muespach _- _le _- _haut
muezzin	_muezzin
muffle	_muffle
muffler	_muffl +er
mug	_mug
muga	_mug +a
mugalzhar	_mugalzhar
mugello	_mugello
muggendorf	_muggendorf
muggia	_mugg +ia
muggiò	_muggiò
muggle	_muggle
mughal	_mughal
mughira	_mughira
mugil	_mugil
mugiliformes	_mugiliformes
mugnano	_mugnano
mugodzhar	_mugodzhar
mugron	_mugron
muhafazah	_muhafazah
muhajirun	_muhajirun
muhametzhan	_muhametzhan
muhammad	_muhammad
muhammad-kyzy	_muhammad _- _kyzy
muhammadiyah	_muhammadiyah
muhammetnazar	_muhammetnazar
muharram	_muharram
muhen	_muh +en
muhlbach-sur-bruche	_muhlbach _- _sur _- _bruche
muhlbach-sur-munster	_muhlbach _- _sur _- _munster
muhovo	_muh +ovo
muhr	_muhr
muhsin	_muhsin
muhteşem	_muhteşem
muhyi	_muhyi
muids	_muids
muir	_muir
muitos	_muitos
mujahideen	_mujahideen
mujibur	_mujibur
mukaghali	_mukaghali
mukalla	_mukalla
mukanov	_mukanov
mukarram	_mukarram
mukasan	_mukasan
mukhamedzhan	_mukhamedzhan
mukhamedzhanov	_mukhamedzhanov
mukhammas	_mukhammas
mukhatov	_mukhatov
mukhtar	_mukhtar
mukhtarkhan	_mukhtar _khan
mukur	_mukur
mulanje	_mulanje
mulato	_mulato
mulatto	_mulatto
mulazzano	_mulazz +ano
mulazzo	_mulazz +o
mulcent	_mulcent
mulcey	_mulcey
mulda	_mulda
muldenstein	_muldenstein
muldentalkreis	_muldentalkreis
muldraugh	_muldraugh
muldrow	_muldrow
mule	_mule
mulegns	_mulegns
mulhall	_mulhall
mulhausen	_mulhausen
mulhouse	_mulhouse
muliterno	_muliterno
mulk	_mulk
mullah	_mullah
mullan	_mull +an
mulled	_mull +ed
mullen	_mull +en
muller	_mull +er
mullet	_mullet
mullica	_mullica
mulliken	_mulliken
mullis	_mullis
mullus	_mull +us
mulroney	_mulroney
mulsow	_mulsow
mulsum	_mulsum
multan	_multan
multi-core	_multi _- _core
multi-decade	_multi _- _decade
multi-layered	_multi _- _lay +er +ed
multi-level	_multi _- _level
multi-listen	_multi _- _list +en
multi-meter	_multi _- _met +er
multi-party	_multi _- _party
multi-speed	_multi _- _speed
multi-sport	_multi _- _sport
multi-touch	_multi _- _touch
multi-year	_multi _- _year
multicellular	_multi _cellular
multichill	_multichill
multicultural	_multi _cultural
multiculturalism	_multicultural +ism
multifactoral	_multi _fact _oral
multilateral	_multilateral
multilateralism	_multilateral +ism
multilevel	_multi _level
multilingual	_multilingual
multimedia	_multi _med +ia
multinational	_multi _nation +al
multinationals	_multinational +s
multiple	_multiple
multiple-unit	_multiple _- _unit
multiples	_multiple +s
multiplexer	_multiplexer
multiplication	_multiplication
multiplier	_multiplier
multiplies	_multiplies
multiplying	_multiplying
multipolar	_multi _pol +ar
multiprocessing	_multi _process +ing
multiprocessor	_multi _processor
multistage	_multi _stage
multistep	_multi _step
multitasking	_multitasking
multithreading	_multithreading
multivalued	_multi _valu +ed
multivibrator	_multi _vibrator
mulungu	_mulungu
muluzi	_muluzi
mulvoy-ten	_mulvoy _- _ten
mumbai	_mumbai
mumford	_mumford
mumin	_mumin
mummy	_mummy
mumpf	_mumpf
muna	_muna
munaily	_munaily
munaitpasov	_munaitpasov
munayshi	_munayshi
munch	_munch
munchhausen	_munch _hau +s +en
munchhouse	_munch _house
muncq-nieurlet	_muncq _- _nieurlet
mundane	_mundane
mundaú	_mundaú
mundell	_mundell
munderfing	_munderfing
mundi	_mund +i
mundialito	_mundialito
mundo	_mund +o
mundolsheim	_mundolsheim
mundus	_mund +us
mundzuk	_mundzuk
muneville-le-bingard	_mune +ville _- _le _- _bingard
muneville-sur-mer	_mune +ville _- _sur _- _mer
munfordville	_munfordville
munhoz	_munhoz
munich	_munich
municipal	_municipal
municipal-	_municipal-
municipalities	_municipalities
municipality	_municipal +ity
municipalization	_municipalization
muniesa	_muniesa
munilla	_munilla
munir	_munir
munising	_munising
munition	_munition
muniz	_muniz
munkar	_munkar
munkácsy	_munkácsy
munningen	_munningen
munro	_munro
munroe	_munroe
munster	_munster
muntakhab	_muntakhab
muntanyola	_muntanyola
muntari	_muntari
muntjac	_muntjac
muntzenheim	_muntzenheim
munwiller	_munwiller
munébrega	_munébrega
muolen	_muolen
muon	_muon
muotathal	_muotathal
muqattaʿat	_muqattaʿat
muqbil	_muqbil
muqi	_muqi
muqui	_muqui
muquém	_muquém
mur	_mur
mura	_mur +a
murabaha	_murabaha
muracciole	_muracciole
murad	_murad
muradeli	_muradeli
muraena	_muraena
murakami	_murakami
muras	_mur +a +s
murasaki	_murasaki
murat	_murat
murato	_murat +o
murau	_murau
muravera	_mur +a _ver +a
muravyov	_muravyov
murazzano	_murazzano
murbach	_mur +bach
murchin	_murchin
murcia	_murcia
murder	_murder
murdered	_murder +ed
murdering	_murder +ing
murders	_murder +s
murdoch	_murdoch
murdock	_murdock
mureaux	_mureaux
murello	_murello
murero	_murero
mureș	_mureș
murga	_murg +a
murge	_murge
murgenthal	_murgenthal
murghab	_murghab
murgovo	_murg +ovo
muri	_mur +i
murialdo	_mur +i _ald +o
muriaé	_muriaé
muricatum	_muricatum
murici	_murici
muricilândia	_muricilândia
muridae	_muridae
muriel	_muriel
murillo	_murillo
murisengo	_murisengo
muritiba	_muritiba
murji	_murji
murkier	_murkier
murla	_murl +a
murles	_murles
murlin	_murl +in
murnau	_murnau
muro	_mur +o
murol	_murol
muromets	_muromets
muros	_mur +o +s
murphy	_murphy
murr	_murr
murray	_murray
murrumbidgee	_murrumbidgee
murs	_mur +s
mursalevo	_mursalevo
murta	_murta
murtas	_murta +s
murtaugh	_murtaugh
murtazayev	_murtazayev
murtinho	_murtinho
murtosa	_murtosa
murutinga	_murutinga
murvaux	_murvaux
murviel-lès-béziers	_murviel _- _lès _- _béziers
murviel-lès-montpellier	_murviel _- _lès _- _montpellier
murville	_mur +ville
murzo	_murzo
mus	_mus
musa	_mus +a
musab	_musab
musabayev	_musabayev
musaceae	_mus +a +ceae
musaddas	_musaddas
musandam	_musandam
musashi	_musashi
musau	_musau
musavat	_musavat
musca	_musca
muscat	_muscat
muscatine	_muscat +ine
muschwitz	_muschwitz
muscicapa	_muscicapa
muscidae	_muscidae
muscle	_muscle
muscogee	_muscogee
muscoline	_muscoline
muscovite	_muscovite
muscovites	_muscovite +s
muscovy	_muscovy
muscular	_muscular
musculdy	_musculdy
musculoskeletal	_musculoskeletal
muse	_muse
musei	_muse +i
museo	_muse +o
museology	_muse +ology
museorum	_museorum
museum	_museum
museums	_museum +s
museveni	_museveni
musevo	_musevo
mushait	_mushait
musharaka	_musharaka
musharraf	_musharraf
mushketov	_mushketov
mushroom	_mushroom
music	_mus +ic
music-stub	_mus +ic _- _stub
musical	_mus +ic +al
musician	_musician
musicians	_musician +s
musicologists	_musicologists
musicology	_mus +ic +ology
musigny	_musigny
musiikin	_musiikin
musile	_musile
musin	_mus +in
musina	_mus +in +a
musirepov	_musirepov
musk	_musk
muskau	_muskau
muskegon	_muskegon
musket	_musket
musketeer	_musketeer
muskmelon	_musk _melon
muskogee	_muskogee
muskrat	_muskrat
muslim	_muslim
muslim-majority	_muslim _- _major +ity
muslimmonths	_muslim _month +s
muslims	_muslim +s
musnad	_musnad
musomishta	_musomishta
mussayev	_mussayev
mussel	_mussel
musset	_musset
mussidan	_mussidan
mussig	_mussig
musso	_muss +o
mussolente	_mussolente
mussolini	_mussolin +i
mussolino	_mussolin +o
mussomeli	_mussomeli
mussorgsky	_mussorgsky
mussy-la-fosse	_mussy _- _la _- _fosse
mussy-sous-dun	_mussy _- _sous _- _dun
must	_must
mustafa	_mustafa
mustafaalmas	_mustafa _alma +s
mustafi	_mustafi
mustafin	_mustaf +in
mustahabb	_mustahabb
mustai	_mustai
mustang	_mustang
mustard	_mustard
mustawfi	_mustawfi
mustelidae	_mustelidae
musteloidea	_musteloidea
muster	_must +er
mustin	_must +in
mustrak	_mustrak
musée	_musée
muta	_mut +a
mutagen	_mutagen
mutagenesis	_mut +a _genesi +s
mutaliev	_mutaliev
mutalimov	_mutalimov
mutant	_mutant
mutation	_mut +ation
mute	_mute
muted	_mut +ed
muteness	_mute _ness
mutharika	_mutharika
muti	_mut +i
mutillidae	_mutillidae
mutiny	_mutiny
mutri	_mutri
mutrécy	_mutrécy
mutsu	_mutsu
mutten	_mutt +en
muttenz	_muttenz
mutter	_mutt +er
mutters	_mutt +er +s
muttersholtz	_mutt +er +s _holtz
mutton	_mut +ton
mutu	_mutu
mutual	_mutual
mutualism	_mutual +ism
mutually	_mutual +ly
mutum	_mutum
mutunópolis	_mutunópolis
mutuípe	_mutuípe
mutxamel	_mutxamel
mutzenhouse	_mutzenhouse
mutzig	_mutzig
muwashshah	_muwashshah
muwatta	_muwatta
muxaro	_muxaro
muyunkum	_muyunkum
muzambinho	_muzambinho
muzeray	_muzeray
muzga	_muzga
muzhikov	_muzhikov
muzillac	_muzillac
muzio	_muzio
muzy	_muzy
muzzana	_muzzan +a
muzzano	_muzzan +o
muçum	_muçum
muíños	_muíños
muñana	_muñana
muñico	_muñico
muñiz	_muñiz
muñogalindo	_muñogalindo
muñogrande	_muñogrande
muñomer	_muñomer
muñopepe	_muñopepe
muñosancho	_muñosancho
muñotello	_muñotello
muñoz	_muñoz
muş	_muş
muʿtazila	_muʿtazila
mv	_mv
mwi	_mwi
mwl	_mwl
my	_my
myanmar	_myanmar
myaskovsky	_myaskovsky
myasthenia	_myasthenia
myasto	_myasto
mycelium	_mycelium
mycenae	_mycenae
mycenaean	_mycenae +an
mycerobas	_mycerobas
mycetophagidae	_mycetophagidae
mycetozoa	_mycetozoa
mycobacterium	_mycobacterium
mycologists	_mycologists
mycology	_mycology
mycosis	_mycosis
myelin	_myelin
myelitis	_myelitis
myeloblast	_myeloblast
myelocyte	_myelocyte
myelogenous	_myelogenous
myeloma	_myeloma
myennes	_myennes
myers	_myers
myersville	_myers +ville
myka	_myka
mykee	_mykee
mykhailo	_mykhailo
mykola	_mykola
mylène	_mylène
myn	_myn
myna	_myn +a
mynbayev	_mynbayev
mynbayevo	_mynbayev +o
myocardial	_myocardial
myocarditis	_myocarditis
myofibril	_myofibril
myoglobin	_myoglobin
myology	_myology
myon	_myon
myong-hyok	_myong _- _hyok
myopathy	_myopathy
myopic	_myopic
myosha	_myosha
myosin	_myosin
myositis	_myositis
myosotis	_myosotis
myrdal	_myrdal
myriad	_myriad
myriapoda	_myriapod +a
myriapods	_myriapod +s
myriophyllum	_myriophyllum
myristica	_myristica
myristicaceae	_myristica +ceae
myron	_myron
myrtaceae	_myrtaceae
myrtle	_myrtle
myrzakhmetov	_myrzakhmetov
mys	_mys
mysida	_mysida
myskina	_myskina
mysql	_mysql
mystaceus	_mystaceus
mystery	_mystery
mystic	_mystic
mysticism	_mystic +ism
mystifyingly	_mystifyingly
myth	_myth
mythic	_myth +ic
mythical	_myth +ic +al
mythology	_myth +ology
mytilidae	_mytilidae
myung-bak	_myung _- _bak
myxedema	_myxedema
myxobacteria	_myxobacteria
myxosporea	_myxosporea
myzostomida	_myzostomida
málaga	_málaga
márcio	_márcio
mário	_mário
márquez	_márquez
mártires	_mártires
mátyás	_mátyás
mâcon	_mâcon
mâlain	_mâlain
mâle	_mâle
mâncio	_mâncio
mãe	_mãe
mägenwil	_mägenwil
mähring	_mähring
mälaren	_mälaren
männedorf	_männedorf
märcani	_märcani
märkisch-oderland	_märkisch _- _oder +land
märstetten	_märstetten
mèze	_mèze
méallet	_méallet
méasnes	_méasnes
méaugon	_méaugon
méautis	_méautis
mécleuves	_mécleuves
mécrin	_mécrin
médan	_médan
médavy	_médavy
médici	_médici
médonville	_médonville
médréac	_médréac
mée-sur-seine	_mée _- _sur _- _seine
mées	_mée +s
mégange	_mégange
mégrit	_mégrit
méharin	_méharin
méhoncourt	_méhoncourt
méhoudin	_méhoudin
méjannes-le-clap	_méjannes _- _le _- _clap
méjannes-lès-alès	_méjannes _- _lès _- _alès
mélamare	_mélamare
mélange	_mélange
mélicourt	_mélicourt
méligny-le-grand	_méligny _- _le _- _grand
méligny-le-petit	_méligny _- _le _- _petit
mélisey	_mélisey
méménil	_méménil
ménarmont	_ménarmont
ménerval	_ménerval
ménerville	_ménerville
ménesplet	_ménesplet
ménesqueville	_ménesqueville
ménessaire	_ménessaire
ménetreuil	_ménetreuil
ménez	_ménez
ménil	_ménil
ménil-aux-bois	_ménil _- _aux _- _boi +s
ménil-broût	_ménil _- _broût
ménil-bérard	_ménil _- _bérard
ménil-ciboult	_ménil _- _ciboult
ménil-de-briouze	_ménil _- _de _- _briouze
ménil-de-senones	_ménil _- _de _- _senones
ménil-en-xaintois	_ménil _- _en _- _xaintois
ménil-erreux	_ménil _- _erreux
ménil-froger	_ménil _- _frog +er
ménil-gondouin	_ménil _- _gondouin
ménil-guyon	_ménil _- _guyon
ménil-hermei	_ménil _- _herme +i
ménil-hubert-en-exmes	_ménil _- _hubert _- _en _- _exmes
ménil-hubert-sur-orne	_ménil _- _hubert _- _sur _- _orne
ménil-jean	_ménil _- _jean
ménil-la-horgne	_ménil _- _la _- _horgne
ménil-la-tour	_ménil _- _la _- _tour
ménil-scelleur	_ménil _- _scelleur
ménil-sur-belvitte	_ménil _- _sur _- _belvitte
ménil-sur-saulx	_ménil _- _sur _- _saulx
ménil-vicomte	_ménil _- _vicomte
ménil-vin	_ménil _- _vin
ménilles	_ménilles
ménière	_ménière
ménoire	_ménoire
ménonval	_ménonval
méntrida	_méntrida
ménéac	_ménéac
ménétreux-le-pitois	_ménétreux _- _le _- _pitois
méracq	_méracq
mérial	_mérial
méricourt	_méricourt
mérida	_mérida
mériel	_mériel
mérifons	_mérifons
mérignac	_mérignac
mérignas	_mérignas
mérignies	_mérignies
mérillac	_mérillac
mérimée	_mérimée
mérinchal	_mérinchal
mérite	_mérite
méritein	_mérite +in
mérobert	_mérobert
méry-corbon	_méry _- _corbon
méry-sur-marne	_méry _- _sur _- _marne
méry-sur-oise	_méry _- _sur _- _oise
méré	_méré
méréville	_méré +ville
mésangueville	_mésangueville
métairies-saint-quirin	_métairies _- _saint _- _quirin
métel	_métel
méteren	_méteren
mézerville	_mézerville
mézidon-canon	_mézidon _- _canon
mézilles	_mézilles
mézin	_mézin
mézière	_mézière
mézières-en-vexin	_mézière +s _- _en _- _vex +in
mézières-sur-couesnon	_mézière +s _- _sur _- _couesnon
mézières-sur-issoire	_mézière +s _- _sur _- _issoire
mézières-sur-seine	_mézière +s _- _sur _- _seine
mézos	_mézos
mézy-sur-seine	_mézy _- _sur _- _seine
mézères	_mézères
mêle-sur-sarthe	_mêle _- _sur _- _sarthe
míguez	_míguez
módica	_módica
mógica	_mógica
mós	_mós
móstoles	_móstoles
môlay	_môlay
mões	_mões
möbius	_möbius
möckern	_möckern
mödingen	_mödingen
mödling	_mödling
möhlau	_möhlau
möhlin	_möhlin
möhrenbach	_möhren +bach
möhrendorf	_möhren +dorf
mölbling	_mölbling
möllenbeck	_möllenbeck
möllenhagen	_möllenhagen
möllensdorf	_möllensdorf
möllern	_möllern
mölln	_mölln
mölschow	_mölschow
mölten	_mölten
mömbris	_mömbris
mömlingen	_mömlingen
mönchaltorf	_mönchaltorf
mönchberg	_mönchberg
mönchengladbach	_mönchengladbach
mönchenholzhausen	_mönchenholzhausen
mönchhagen	_mönchhagen
mönchhof	_mönchhof
mönchpfiffel-nikolausrieth	_mönchpfiffel _- _nikolausrieth
mönchsdeggingen	_mönchsdeggingen
mönchsroth	_mönchsroth
möngke	_möngke
mönichkirchen	_mönichkirchen
mönkebude	_mönkebude
mönkh	_mönkh
mönthal	_mönthal
mörbisch	_mörbisch
mörfelden-walldorf	_mörfelden _- _wall +dorf
mörigen	_mörigen
möriken-wildegg	_möriken _- _wildegg
möringen	_möringen
mörlenbach	_mörlen +bach
mörnsheim	_mörnsheim
mörschwang	_mörschwang
mörschwil	_mörschwil
mörsdorf	_mörsdorf
mörtschach	_mörtschach
möser	_möser
mössbauer	_mössbauer
mötschwil	_mötschwil
möttingen	_möttingen
mötz	_mötz
mötzing	_mötz +ing
mø	_mø
mûr-de-bretagne	_mûr _- _de _- _bretagne
mücheln	_mücheln
mücke	_mücke
müden	_müden
mühl	_mühl
mühlanger	_mühl _ang +er
mühlau	_mühlau
mühlbach	_mühl +bach
mühlbachl	_mühlbachl
mühlbeck	_mühl _beck
mühlberg	_mühl +berg
mühldorf	_mühl +dorf
mühleberg	_mühle +berg
mühledorf	_mühle +dorf
mühlehorn	_mühle _horn
mühlen	_mühl +en
mühlethurnen	_mühlethurnen
mühlgraben	_mühl _grab +en
mühlhausen	_mühl _hau +s +en
mühlheim	_mühl +heim
mühlkreis	_mühlkreis
mühltal	_mühltal
mühlviertel	_mühlviertel
mühlwald	_mühl _wald
mülchi	_mülchi
mülheim	_mülheim
müllendorf	_müll _endorf
müller	_müll +er
müllheim	_müll +heim
mülligen	_mülligen
mülverstedt	_mülverstedt
mümliswil-ramiswil	_mümliswil _- _ramiswil
mümtaz	_mümtaz
münchberg	_münchberg
münchen	_münchen
münchenbernsdorf	_münchen _berns _dorf
münchenbuchsee	_münchenbuchsee
münchendorf	_münchen +dorf
münchenstein	_münchen _ste +in
münchenwiler	_münchen _wil +er
münchhausen	_münchhausen
münchringen	_münchringen
münchsmünster	_münchsmünster
münchsteinach	_münchsteinach
münchwilen	_münchwilen
münden	_münd +en
münder	_münd +er
münichreith-laimbach	_münichreith _- _laimbach
münnerstadt	_münnerstadt
münnich	_münnich
münsing	_münsing
münsingen	_münsing +en
münster	_münster
münstereifel	_münstereifel
münsterhausen	_münster _hau +s +en
münsterlingen	_münster _ling +en
münstertal	_münstertal
müntschemier	_müntschemier
müntzer	_müntzer
münzbach	_münzbach
münzenberg	_münzenberg
münzkirchen	_münzkirchen
müritz	_müritz
mürren	_mürren
mürztal	_mürztal
müstair	_müstair
müswangen	_müswangen
mýrdalsjökull	_mýrdalsjökull
māori	_māori
māris	_māris
mămăligă	_mămăligă
mīmāṃsā	_mīmāṃsā
mīr-khvānd	_mīr _- _khvānd
mōri	_mōri
mœrnach	_mœrnach
mœuvres	_mœuvres
mšk	_mšk
mūsā	_mūsā
n	_n
n-butyllithium	_n _- _butyl _lithium
n.	_n.
n.f.-board	_n.f. _- _board
n9	_n9
na	_na
na-ra	_na _- _ra
naadam	_naadam
naam	_naam
naarn	_naarn
nabas	_nab +a +s
nabataean	_nabataean
nabburg	_nab +burg
nabi	_nab +i
nabil	_nabil
nabirat	_nabirat
nabiullina	_nabiullina
nabokov	_nabokov
naboýçenko	_naboýçenko
nabringhen	_nabringhen
nacer	_nac +er
naceri	_nac +er +i
nach	_nach
nachevo	_nachevo
nacho	_nach +o
nachrodt-wiblingwerde	_nachrodt _- _wiblingwerde
nachterstedt	_nachterstedt
nacional	_nacional
nacip	_nacip
nad	_nad
nadadouro	_nadadouro
nadaillac	_nadaillac
nader	_nad +er
nades	_nades
nadezhda	_nadezhd +a
