!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
ઇંડીયા	ઇ@@ ંડ@@ ીયા
ઇજિપ્ત	ઇ@@ જિ@@ પ્ત
ઇટાનગર	ઇ@@ ટા@@ નગર
ઈંડિયમ	ઈ@@ ંડ@@ િયમ
ઈંડિયા	ઈ@@ ંડ@@ િયા
ઈરાનનો	ઈ@@ રા@@ નનો
ઉજ્જૈન	ઉ@@ જ્@@ જૈન
ઉમરકોટ	ઉ@@ મર@@ કોટ
ઉમરગામ	ઉ@@ મર@@ ગામ
ઉલ્હાસ	ઉ@@ લ્@@ હાસ
એલેક્સ	એ@@ લે@@ ક્સ
એવોર્ડ	એ@@ વો@@ ર્ડ
એસ્સાર	એ@@ સ્@@ સાર
ઑરેગોન	ઑ@@ રે@@ ગોન
કંદહાર	ક@@ ંદ@@ હાર
કટિહાર	ક@@ ટિ@@ હાર
કમાન્ડ	ક@@ મા@@ ન્ડ
કવિરાજ	ક@@ વિ@@ રાજ
ખબરદાર	ખ@@ બર@@ દાર
જયાબેન	જ@@ યા@@ બેન
જયોર્જ	જ@@ યો@@ ર્જ
જલારામ	જ@@ લા@@ રામ
જસુબેન	જ@@ સુ@@ બેન
ઝકરિયા	ઝ@@ કર@@ િયા
તત્ત્વ	ત@@ ત્@@ ત્વ
તહેવાર	ત@@ હે@@ વાર
દલીચંદ	દ@@ લી@@ ચંદ
દહેગામ	દ@@ હે@@ ગામ
ધરમપુર	ધ@@ રમ@@ પુર
નથુરામ	ન@@ થુ@@ રામ
નમિનાથ	ન@@ મિ@@ નાથ
નવાગામ	ન@@ વા@@ ગામ
નવાનગર	ન@@ વા@@ નગર
નવાપુર	ન@@ વા@@ પુર
પંગારો	પ@@ ંગ@@ ારો
પદુકોણ	પ@@ દુ@@ કોણ
પરમવીર	પ@@ રમ@@ વીર
ફર્સ્ટ	ફ@@ ર્@@ સ્ટ
બકાસુર	બ@@ કા@@ સુર
બચુભાઇ	બ@@ ચુ@@ ભાઇ
બહુકોણ	બ@@ હુ@@ કોણ
ભંડારા	ભ@@ ંડ@@ ારા
મદુરાઇ	મ@@ દુ@@ રાઇ
મનુભાઇ	મ@@ નુ@@ ભાઇ
મનુભાઈ	મ@@ નુ@@ ભાઈ
મયાસુર	મ@@ યા@@ સુર
મલાગીર	મ@@ લા@@ ગીર
યદુવંશ	ય@@ દુ@@ વંશ
રઘુનાથ	ર@@ ઘુ@@ નાથ
રઘુવીર	ર@@ ઘુ@@ વીર
રતિલાલ	ર@@ તિ@@ લાલ
રસીકરણ	ર@@ સી@@ કરણ
રહેમાન	ર@@ હે@@ માન
વસાવડા	વ@@ સા@@ વડા
વસુદેવ	વ@@ સુ@@ દેવ
વસુબેન	વ@@ સુ@@ બેન
શનિદેવ	શ@@ નિ@@ દેવ
શનિવાર	શ@@ નિ@@ વાર
સચોકરી	સ@@ ચો@@ કરી
સણોસરી	સ@@ ણો@@ સરી
સદાનંદ	સ@@ દા@@ નંદ
સિયાંગ	સ@@ િય@@ ાંગ
હજિન્સ	હ@@ જિ@@ ન્સ
અસાંજે	અ@@ સાં@@ જ@@ ે
આનંદઘન	આ@@ નંદ@@ ઘ@@ ન
ઇત્તોપ	ઇ@@ ત્ત@@ ો@@ પ
ડ્રાઇવ	ડ@@ ્રા@@ ઇ@@ વ
પલક્કડ	પ@@ લક્@@ ક@@ ડ
બ્યુરન	બ@@ ્યુ@@ ર@@ ન
અંદાડા	અ@@ ંદા@@ ડા
અકરાણી	અ@@ કરા@@ ણી
અપર્ણા	અ@@ પર્@@ ણા
અસ્થમા	અ@@ સ્થ@@ મા
આનંદજી	આ@@ નંદ@@ જી
આસામના	આ@@ સામ@@ ના
ઇલાયચી	ઇ@@ લાય@@ ચી
ઇવાંકા	ઇ@@ વાં@@ કા
ઉત્સવો	ઉ@@ ત્સ@@ વો
ઉષ્ણતા	ઉ@@ ષ્ણ@@ તા
એંગોલા	એ@@ ંગો@@ લા
એજન્સી	એ@@ જન્@@ સી
એવર્ટન	એ@@ વર્@@ ટન
ઓમ્બલે	ઓ@@ મ્બ@@ લે
કપરાડા	ક@@ પરા@@ ડા
ખજરાના	ખ@@ જરા@@ ના
ગરમાળો	ગ@@ રમા@@ ળો
ચકલાસી	ચ@@ કલા@@ સી
ચમારડી	ચ@@ માર@@ ડી
જર્મની	જ@@ ર્મ@@ ની
તર્જની	ત@@ ર્જ@@ ની
દિયોદર	દ@@ િયો@@ દર
ધરાવતા	ધ@@ રાવ@@ તા
નંદિતા	ન@@ ંદિ@@ તા
પત્યું	પ@@ ત્ય@@ ું
પિયાસણ	પ@@ િયા@@ સણ
બંગાળી	બ@@ ંગા@@ ળી
બકરાણા	બ@@ કરા@@ ણા
બનારસી	બ@@ નાર@@ સી
બ્યૂટી	બ@@ ્યૂ@@ ટી
બ્યૂલા	બ@@ ્યૂ@@ લા
મકરાણી	મ@@ કરા@@ ણી
મિલ્ખા	મ@@ િલ્@@ ખા
રવાંડા	ર@@ વાં@@ ડા
લજામણી	લ@@ જામ@@ ણી
વિલ્સન	વ@@ િલ્@@ સન
સંદેશા	સ@@ ંદે@@ શા
સિલ્વર	સ@@ િલ્@@ વર
સ્રોતો	સ@@ ્રો@@ તો
હંગેરી	હ@@ ંગે@@ રી
ઉત્રાણ	ઉ@@ ત્રા@@ ણ
ઉસ્તાદ	ઉ@@ સ્તા@@ દ
એસ્ટોન	એ@@ સ્ટો@@ ન
ઘડિયાલ	ઘ@@ ડિયા@@ લ
પિલ્લઈ	પ@@ િલ્લ@@ ઈ
ભડીયાદ	ભ@@ ડીયા@@ દ
મદ્રાસ	મ@@ દ્રા@@ સ
યવતમાળ	ય@@ વતમા@@ ળ
વસ્તુઓ	વ@@ સ્તુ@@ ઓ
સક્રિય	સ@@ ક્રિ@@ ય
આચાર્ય	આ@@ ચાર્ય
ઈજનેરી	ઈ@@ જનેરી
ઈતિહાસ	ઈ@@ તિહાસ
એલેન્ડ	એ@@ લેન્ડ
કવર્ધા	ક@@ વર્ધા
ધરાવતી	ધ@@ રાવતી
પિયાનો	પ@@ િયાનો
શરાવતી	શ@@ રાવતી
યુઇએફએ	યુ@@ ઇ@@ એ@@ ફ@@ એ
યેઘીશે	યે@@ ઘ@@ ી@@ શ@@ ે
લાંધણજ	લા@@ ં@@ ધ@@ ણ@@ જ
સેરછિપ	સે@@ ર@@ છ@@ િ@@ પ
અરડૂસી	અર@@ ડ@@ ૂ@@ સી
કોડરમા	કો@@ ડ@@ ર@@ મા
ખીરસરા	ખી@@ ર@@ સ@@ રા
ગંજશકર	ગં@@ જ@@ શ@@ કર
ગાધકડા	ગા@@ ધ@@ ક@@ ડા
ગાવસકર	ગા@@ વ@@ સ@@ કર
ગોદડજી	ગો@@ દ@@ ડ@@ જી
જીંજવો	જી@@ ં@@ જ@@ વો
ડાયમંડ	ડા@@ ય@@ મ@@ ંડ
તીરથગઢ	તી@@ ર@@ થ@@ ગઢ
દેશલપર	દે@@ શ@@ લ@@ પર
દોલતપર	દો@@ લ@@ ત@@ પર
ધાણેટી	ધા@@ ણ@@ ે@@ ટી
નુઆપડા	નુ@@ આ@@ પ@@ ડા
પાંઝરા	પા@@ ં@@ ઝ@@ રા
પેઢીના	પે@@ ઢ@@ ી@@ ના
પોળોની	પો@@ ળ@@ ો@@ ની
ફાટવું	ફા@@ ટ@@ વ@@ ું
બાંધણી	બા@@ ં@@ ધ@@ ણી
બોગદું	બો@@ ગ@@ દ@@ ું
બોચડવા	બો@@ ચ@@ ડ@@ વા
ભોંસલે	ભો@@ ં@@ સ@@ લે
મુરૈના	મુ@@ ર@@ ૈ@@ ના
મેનહટન	મે@@ ન@@ હ@@ ટન
મોઢેરા	મો@@ ઢ@@ ે@@ રા
મોનૅકો	મો@@ ન@@ ૅ@@ કો
રાઈતું	રા@@ ઈ@@ ત@@ ું
રેણુકા	રે@@ ણ@@ ુ@@ કા
વાકછટા	વા@@ ક@@ છ@@ ટા
સંરચના	સં@@ ર@@ ચ@@ ના
સંસદીય	સં@@ સ@@ દ@@ ીય
સમવશરણ	સમ@@ વ@@ શ@@ રણ
સરસવણી	સર@@ સ@@ વ@@ ણી
સાચવણી	સા@@ ચ@@ વ@@ ણી
સાલસકર	સા@@ લ@@ સ@@ કર
સિધ્ધુ	સિ@@ ધ@@ ્@@ ધુ
સ્નૂકર	સ્@@ ન@@ ૂ@@ કર
સ્પૅરો	સ્@@ પ@@ ૅ@@ રો
હાથીગઢ	હા@@ થ@@ ી@@ ગઢ
હાથીના	હા@@ થ@@ ી@@ ના
૧૮૦૨ની	૧૮@@ ૦@@ ૨@@ ની
૧૮૫૭ની	૧૮@@ ૫@@ ૭@@ ની
કંપનીઓ	કં@@ પ@@ ની@@ ઓ
કરમદાં	કર@@ મ@@ દા@@ ં
કાપડીઆ	કા@@ પ@@ ડી@@ આ
કુલદીપ	કુ@@ લ@@ દી@@ પ
કેથરિન	કે@@ થ@@ રિ@@ ન
કેમ્યૂ	કે@@ મ@@ ્ય@@ ૂ
ગામગુલ	ગા@@ મ@@ ગુ@@ લ
ગીધકુટ	ગી@@ ધ@@ કુ@@ ટ
ગેહલોત	ગે@@ હ@@ લો@@ ત
ઘોડદોડ	ઘો@@ ડ@@ દો@@ ડ
ચાઇનીઝ	ચા@@ ઇ@@ ની@@ ઝ
ચાણક્ય	ચા@@ ણ@@ ક્@@ ય
જીબરિલ	જી@@ બ@@ રિ@@ લ
જુલિયસ	જુ@@ લ@@ િય@@ સ
જ્‌હોન	જ્@@ ‌@@ હો@@ ન
ટોડરમલ	ટો@@ ડ@@ રમ@@ લ
ઢોકળાં	ઢો@@ ક@@ ળા@@ ં
તિરહુત	તિ@@ ર@@ હુ@@ ત
તુમકુર	તુ@@ મ@@ કુ@@ ર
થિઓડોર	થિ@@ ઓ@@ ડો@@ ર
દિલરાસ	દિ@@ લ@@ રા@@ સ
દિલશાન	દિ@@ લ@@ શા@@ ન
દુરંતો	દુ@@ ર@@ ંત@@ ો
દૂધપાક	દૂ@@ ધ@@ પા@@ ક
દૂરબીન	દૂ@@ ર@@ બી@@ ન
દેશમુખ	દે@@ શ@@ મુ@@ ખ
નાલંદા	ના@@ લ@@ ંદ@@ ા
પાનશેત	પા@@ ન@@ શે@@ ત
પાપલેટ	પા@@ પ@@ લે@@ ટ
પેટલાદ	પે@@ ટ@@ લા@@ દ
ફુલરિન	ફુ@@ લ@@ રિ@@ ન
ફેફસાં	ફે@@ ફ@@ સા@@ ં
ફેરફાર	ફે@@ ર@@ ફા@@ ર
ફેસબુક	ફે@@ સ@@ બુ@@ ક
બાંભોર	બા@@ ં@@ ભો@@ ર
બાકરોલ	બા@@ ક@@ રો@@ લ
બાલબોધ	બા@@ લ@@ બો@@ ધ
બાળગીત	બા@@ ળ@@ ગી@@ ત
બીરભૂમ	બી@@ ર@@ ભૂ@@ મ
બુઝર્ગ	બુ@@ ઝ@@ ર્@@ ગ
બેકબોન	બે@@ ક@@ બો@@ ન
બેનઝિર	બે@@ ન@@ ઝિ@@ ર
બોયઝોન	બો@@ ય@@ ઝો@@ ન
બોલપેન	બો@@ લ@@ પે@@ ન
માતરમ્	મા@@ ત@@ રમ@@ ્
મુનમુન	મુ@@ ન@@ મુ@@ ન
મુમતાઝ	મુ@@ મ@@ તા@@ ઝ
મેઈતેઈ	મે@@ ઈ@@ તે@@ ઈ
મેકમેક	મે@@ ક@@ મે@@ ક
યેરકાડ	યે@@ ર@@ કા@@ ડ
રિઝર્વ	રિ@@ ઝ@@ ર્@@ વ
રુમટેક	રુ@@ મ@@ ટે@@ ક
રોજગાર	રો@@ જ@@ ગા@@ ર
લખનદેઈ	લખ@@ ન@@ દે@@ ઈ
લીંભોઈ	લી@@ ં@@ ભો@@ ઈ
વાનગીઓ	વા@@ ન@@ ગી@@ ઓ
વિંઝાણ	વિ@@ ં@@ ઝા@@ ણ
શેરગિલ	શે@@ ર@@ ગિ@@ લ
શેરલોક	શે@@ ર@@ લો@@ ક
સુઝલોન	સુ@@ ઝ@@ લો@@ ન
સેમસંગ	સે@@ મ@@ સં@@ ગ
સોહરાબ	સો@@ હ@@ રા@@ બ
સ્ફટિક	સ્@@ ફ@@ ટિ@@ ક
હાંસોટ	હા@@ ં@@ સો@@ ટ
હુદહુદ	હુ@@ દ@@ હુ@@ દ
હોમરુલ	હો@@ મ@@ રુ@@ લ
અમલનેર	અમ@@ લ@@ નેર
અમલસાડ	અમ@@ લ@@ સાડ
અવતારો	અવ@@ ત@@ ારો
ઋષિકેશ	ઋષ@@ િ@@ કેશ
કંથકોટ	કં@@ થ@@ કોટ
કંસારો	કં@@ સ@@ ારો
કાસગંજ	કા@@ સ@@ ગંજ
કુરિયન	કુ@@ ર@@ િયન
કોઠારા	કો@@ ઠ@@ ારા
કોઠારી	કો@@ ઠ@@ ારી
કોથમીર	કો@@ થ@@ મીર
કોદિયા	કો@@ દ@@ િયા
ખાનદેશ	ખા@@ ન@@ દેશ
ખેરગામ	ખે@@ ર@@ ગામ
ગીતકાર	ગી@@ ત@@ કાર
ગુણવંત	ગુ@@ ણ@@ વંત
ગોપનાથ	ગો@@ પ@@ નાથ
ગોપનું	ગો@@ પ@@ નું
ઘોંઘાટ	ઘો@@ ં@@ ઘાટ
ચીજગામ	ચી@@ જ@@ ગામ
ચોરવાડ	ચો@@ ર@@ વાડ
જનકપુર	જન@@ ક@@ પુર
જાજપુર	જા@@ જ@@ પુર
જાળીયા	જા@@ ળ@@ ીયા
જુલિયન	જુ@@ લ@@ િયન
જેકમેન	જે@@ ક@@ મેન
જૈનત્વ	જૈ@@ ન@@ ત્વ
જોગવાડ	જો@@ ગ@@ વાડ
જોધપુર	જો@@ ધ@@ પુર
ઝાઝપોર	ઝા@@ ઝ@@ પોર
ઝેવિયર	ઝે@@ વ@@ િયર
ટાકિયા	ટા@@ ક@@ િયા
ડેબિયન	ડે@@ બ@@ િયન
તાનસેન	તા@@ ન@@ સેન
તાપમાન	તા@@ પ@@ માન
તેજારા	તે@@ જ@@ ારા
તેલનાર	તે@@ લ@@ નાર
તેલનું	તે@@ લ@@ નું
તોરખાન	તો@@ ર@@ ખાન
થેલીયમ	થે@@ લ@@ ીયમ
થોરીયમ	થો@@ ર@@ ીયમ
દરભંગા	દર@@ ભ@@ ંગા
દીનારા	દી@@ ન@@ ારા
દૂધરાજ	દૂ@@ ધ@@ રાજ
દોડવીર	દો@@ ડ@@ વીર
નવસારી	નવ@@ સ@@ ારી
નાઈટ્સ	ના@@ ઈ@@ ટ્સ
નોકિયા	નો@@ ક@@ િયા
પાઉન્ડ	પા@@ ઉ@@ ન્ડ
પાળિયા	પા@@ ળ@@ િયા
પિકનિક	પિ@@ ક@@ નિક
પિલવાઇ	પિ@@ લ@@ વાઇ
પીપલ્સ	પી@@ પ@@ લ્સ
પુંસરી	પુ@@ ં@@ સરી
પુજારા	પુ@@ જ@@ ારા
પેટન્ટ	પે@@ ટ@@ ન્ટ
પોલિયો	પો@@ લ@@ િયો
ફુટબોલ	ફુ@@ ટ@@ બોલ
ફૂરિયર	ફૂ@@ ર@@ િયર
બરદિયા	બર@@ દ@@ િયા
બાગમતી	બા@@ ગ@@ મતી
બાદશાહ	બા@@ દ@@ શાહ
બિટલ્સ	બિ@@ ટ@@ લ્સ
બિહારી	બિ@@ હ@@ ારી
બુધવાર	બુ@@ ધ@@ વાર
બુલન્દ	બુ@@ લ@@ ન્દ
બુલબુલ	બુ@@ લ@@ બુલ
બેકહામ	બે@@ ક@@ હામ
બેટમેન	બે@@ ટ@@ મેન
બેરિયમ	બે@@ ર@@ િયમ
બેલગામ	બે@@ લ@@ ગામ
ભાટિયા	ભા@@ ટ@@ િયા
ભાલીયા	ભા@@ લ@@ ીયા
ભિવંડી	ભિ@@ વ@@ ંડી
ભીમતાલ	ભી@@ મ@@ તાલ
ભીમદેવ	ભી@@ મ@@ દેવ
ભીમભાઈ	ભી@@ મ@@ ભાઈ
ભીમસેન	ભી@@ મ@@ સેન
ભુજિયો	ભુ@@ જ@@ િયો
ભુટિયા	ભુ@@ ટ@@ િયા
ભોજપુર	ભો@@ જ@@ પુર
મગનભાઇ	મગ@@ ન@@ ભાઇ
મણીનગર	મણ@@ ી@@ નગર
મણીભાઈ	મણ@@ ી@@ ભાઈ
મણીલાલ	મણ@@ ી@@ લાલ
મદનલાલ	મદ@@ ન@@ લાલ
મિનારા	મિ@@ ન@@ ારા
મિનારો	મિ@@ ન@@ ારો
મીણસાર	મી@@ ણ@@ સાર
મેકવાન	મે@@ ક@@ વાન
મોણીયા	મો@@ ણ@@ ીયા
મોથારા	મો@@ થ@@ ારા
મોવીયા	મો@@ વ@@ ીયા
યુનિયન	યુ@@ ન@@ િયન
યુપીયા	યુ@@ પ@@ ીયા
રમણભાઈ	રમ@@ ણ@@ ભાઈ
રમણલાલ	રમ@@ ણ@@ લાલ
રાઝદાન	રા@@ ઝ@@ દાન
રિઝવાન	રિ@@ ઝ@@ વાન
રીચર્ડ	રી@@ ચ@@ ર્ડ
રુપનગર	રુ@@ પ@@ નગર
રેડિયમ	રે@@ ડ@@ િયમ
રેતીયો	રે@@ ત@@ ીયો
રોડિયમ	રો@@ ડ@@ િયમ
લાઓસનો	લા@@ ઓ@@ સનો
લાગ્યો	લા@@ ગ@@ ્યો
લિથિયમ	લિ@@ થ@@ િયમ
લિનક્સ	લિ@@ ન@@ ક્સ
લોહિયા	લો@@ હ@@ િયા
વિસનગર	વિ@@ સ@@ નગર
વેગમાન	વે@@ ગ@@ માન
વૈજનાથ	વૈ@@ જ@@ નાથ
સંખ્યા	સં@@ ખ@@ ્યા
સમયસાર	સમ@@ ય@@ સાર
સાઠંબા	સા@@ ઠ@@ ંબા
સાતતાલ	સા@@ ત@@ તાલ
સિકંદર	સિ@@ ક@@ ંદર
સિરિયલ	સિ@@ ર@@ િયલ
સિરીયમ	સિ@@ ર@@ ીયમ
સીરિયલ	સી@@ ર@@ િયલ
સુઈગામ	સુ@@ ઈ@@ ગામ
સુધારો	સુ@@ ધ@@ ારો
સુલતાન	સુ@@ લ@@ તાન
સૂરદાસ	સૂ@@ ર@@ દાસ
સેકન્ડ	સે@@ ક@@ ન્ડ
સેઠીયા	સે@@ ઠ@@ ીયા
સોપારી	સો@@ પ@@ ારી
સોમનાથ	સો@@ મ@@ નાથ
સોમવાર	સો@@ મ@@ વાર
હાથમતી	હા@@ થ@@ મતી
હિમનદી	હિ@@ મ@@ નદી
હેનરિક	હે@@ ન@@ રિક
અરદેશર	અર@@ દે@@ શ@@ ર
ઉપનિષદ	ઉપ@@ નિ@@ ષ@@ દ
કિંગડમ	કિ@@ ંગ@@ ડ@@ મ
કૈકેયી	કૈ@@ કે@@ ય@@ ી
કૈફાઇર	કૈ@@ ફા@@ ઇ@@ ર
કોડિઆક	કો@@ ડિ@@ આ@@ ક
ખેરાલુ	ખે@@ રા@@ લ@@ ુ
ગોલ્ડન	ગો@@ લ્@@ ડ@@ ન
ચોમાસુ	ચો@@ મા@@ સ@@ ુ
જિદ્દુ	જિ@@ દ્@@ દ@@ ુ
જેકુઝી	જે@@ કુ@@ ઝ@@ ી
થિમ્ફુ	થિ@@ મ્@@ ફ@@ ુ
દરજ્જો	દર@@ જ્@@ જ@@ ો
નાંદુર	ના@@ ંદ@@ ુ@@ ર
પીડીએફ	પી@@ ડી@@ એ@@ ફ
ફાર્બસ	ફા@@ ર્@@ બ@@ સ
ફ્લોઇડ	ફ્@@ લો@@ ઇ@@ ડ
બિજનૌર	બિ@@ જન@@ ૌ@@ ર
બિસ્મથ	બિ@@ સ્@@ મ@@ થ
બ્લેયર	બ્@@ લે@@ ય@@ ર
ભાંડુપ	ભા@@ ંડ@@ ુ@@ પ
મલયાળમ	મલ@@ યા@@ ળ@@ મ
મિઝોરમ	મિ@@ ઝો@@ ર@@ મ
મોબાઈલ	મો@@ બા@@ ઈ@@ લ
યુરેનસ	યુ@@ રે@@ ન@@ સ
રિડીમર	રિ@@ ડી@@ મ@@ ર
લુસિઅન	લુ@@ સિ@@ અ@@ ન
લોફ્ટસ	લો@@ ફ્@@ ટ@@ સ
લ્યૂથર	લ્@@ યૂ@@ થ@@ ર
વિનિમય	વિ@@ નિ@@ મ@@ ય
વિવેચક	વિ@@ વે@@ ચ@@ ક
વ્હાઈટ	વ્@@ હા@@ ઈ@@ ટ
શાહરૂખ	શા@@ હર@@ ૂ@@ ખ
સલારીઆ	સલ@@ ાર@@ ી@@ આ
સિરમૌર	સિ@@ રમ@@ ૌ@@ ર
સિસિફસ	સિ@@ સિ@@ ફ@@ સ
સોંદુર	સો@@ ંદ@@ ુ@@ ર
સોસ્યો	સો@@ સ્@@ ય@@ ો
સ્કાઉટ	સ્@@ કા@@ ઉ@@ ટ
સ્કેનર	સ્@@ કે@@ ન@@ ર
સ્ટીફન	સ્@@ ટી@@ ફ@@ ન
સ્વિડન	સ્@@ વિ@@ ડ@@ ન
હુંદુર	હુ@@ ંદ@@ ુ@@ ર
હુમાયુ	હુ@@ મા@@ ય@@ ુ
અંકાલા	અં@@ કા@@ લા
અંકિતા	અં@@ કિ@@ તા
અંકોલા	અં@@ કો@@ લા
અંધેરી	અં@@ ધે@@ રી
અંબિકા	અં@@ બિ@@ કા
અંશુમન	અં@@ શુ@@ મન
અમરાપર	અમ@@ રા@@ પર
અમરોલી	અમ@@ રો@@ લી
અમરોહા	અમ@@ રો@@ હા
અરમાની	અર@@ મા@@ ની
અલમોડા	અલ@@ મો@@ ડા
અલારસા	અલ@@ ાર@@ સા
અવરોધન	અવ@@ રો@@ ધન
આંબાવડ	આં@@ બા@@ વડ
આંસોદર	આં@@ સો@@ દર
આઇટીસી	આઇ@@ ટી@@ સી
આઈવાના	આઈ@@ વા@@ ના
ઉપનગરી	ઉપ@@ નગ@@ રી
ઉપલેટા	ઉપ@@ લે@@ ટા
કંકોડા	કં@@ કો@@ ડા
કડપ્પા	કડ@@ પ્@@ પા
કરવાના	કર@@ વા@@ ના
કલચુરી	કલ@@ ચુ@@ રી
કાંગડા	કા@@ ંગ@@ ડા
કાંગડી	કા@@ ંગ@@ ડી
કાંબલી	કા@@ ંબ@@ લી
કાકોરી	કા@@ કો@@ રી
કાજિતા	કા@@ જિ@@ તા
કાણોદર	કા@@ ણો@@ દર
કાનાજી	કા@@ ના@@ જી
કાનુગો	કા@@ નુ@@ ગો
કાન્તા	કા@@ ન્@@ તા
કામિની	કા@@ મિ@@ ની
કામ્ટે	કા@@ મ્@@ ટે
કાલાવડ	કા@@ લા@@ વડ
કાલિકા	કા@@ લિ@@ કા
કાસ્કી	કા@@ સ્@@ કી
કિબ્બર	કિ@@ બ્@@ બર
કિર્તન	કિ@@ ર્@@ તન
કિસ્સા	કિ@@ સ્@@ સા
કિહોટે	કિ@@ હો@@ ટે
કીડીઘર	કી@@ ડી@@ ઘર
કુદરતી	કુ@@ દર@@ તી
કુપોષણ	કુ@@ પો@@ ષણ
કુરુંગ	કુ@@ રુ@@ ંગ
કુર્સી	કુ@@ ર્@@ સી
કુલ્લૂ	કુ@@ લ્@@ લૂ
કુહાડી	કુ@@ હા@@ ડી
કેનેડા	કે@@ ને@@ ડા
કેલિકો	કે@@ લિ@@ કો
કૈલાલી	કૈ@@ લા@@ લી
કોંકણી	કો@@ ંક@@ ણી
કોડાગુ	કો@@ ડા@@ ગુ
કોદાળી	કો@@ દા@@ ળી
કોપ્પલ	કો@@ પ્@@ પલ
કોલોની	કો@@ લો@@ ની
કોવાયા	કો@@ વા@@ યા
કોષ્ટક	કો@@ ષ્@@ ટક
કોસંબા	કો@@ સં@@ બા
કોહિમા	કો@@ હિ@@ મા
કૌભાંડ	કૌ@@ ભા@@ ંડ
ખરસાણી	ખર@@ સા@@ ણી
ખાવાનો	ખા@@ વા@@ નો
ખેરાલી	ખે@@ રા@@ લી
ખોપાળા	ખો@@ પા@@ ળા
ખોર્ધા	ખો@@ ર્@@ ધા
ગઢવાલી	ગઢ@@ વા@@ લી
ગાગોદર	ગા@@ ગો@@ દર
ગાર્ગી	ગા@@ ર્@@ ગી
ગિનિનો	ગિ@@ નિ@@ નો
ગિરિજા	ગિ@@ રિ@@ જા
ગીઝાનો	ગી@@ ઝા@@ નો
ગીનીનો	ગી@@ ની@@ નો
ગુયાના	ગુ@@ યા@@ ના
ગુલ્મી	ગુ@@ લ્@@ મી
ગૂડિસન	ગૂ@@ ડિ@@ સન
ગૂવેરા	ગૂ@@ વે@@ રા
ગોડ્ડા	ગો@@ ડ્@@ ડા
ગોપાચલ	ગો@@ પા@@ ચલ
ગોબિઓફ	ગો@@ બિ@@ ઓફ
ઘાનાનો	ઘા@@ ના@@ નો
ચંપાવત	ચં@@ પા@@ વત
ચાલીસા	ચા@@ લી@@ સા
ચિલીના	ચિ@@ લી@@ ના
ચિશ્તી	ચિ@@ શ્@@ તી
ચીલીનો	ચી@@ લી@@ નો
ચુચુરા	ચુ@@ ચુ@@ રા
ચેલ્સી	ચે@@ લ્@@ સી
ચોટીલા	ચો@@ ટી@@ લા
ચોટીલી	ચો@@ ટી@@ લી
ચૌધુરી	ચૌ@@ ધુ@@ રી
છેલ્લો	છે@@ લ્@@ લો
જગડુશા	જગ@@ ડુ@@ શા
જનમેજય	જન@@ મે@@ જય
જયગઢનો	જય@@ ગઢ@@ નો
જાડેજા	જા@@ ડે@@ જા
જાણીતા	જા@@ ણી@@ તા
જિગ્મે	જિ@@ ગ્@@ મે
જિમ્મી	જિ@@ મ્@@ મી
જીમેઇલ	જી@@ મે@@ ઇલ
જુમાની	જુ@@ મા@@ ની
જેનેરો	જે@@ ને@@ રો
જેન્સી	જે@@ ન્@@ સી
જેસ્સી	જે@@ સ્@@ સી
જૈમિનિ	જૈ@@ મિ@@ નિ
જોશીમઠ	જો@@ શી@@ મઠ
ઝાજ્જર	ઝા@@ જ્@@ જર
ઝિન્ટા	ઝિ@@ ન્@@ ટા
ઝીપ્પો	ઝી@@ પ્@@ પો
ઝુબેદા	ઝુ@@ બે@@ દા
ઝુલાસણ	ઝુ@@ લા@@ સણ
ઝોરાવર	ઝો@@ રા@@ વર
ટીકમગઢ	ટી@@ કમ@@ ગઢ
ટેનેસી	ટે@@ ને@@ સી
ટેરેસા	ટે@@ રે@@ સા
ટોબેગો	ટો@@ બે@@ ગો
ટ્વિટર	ટ્@@ વિ@@ ટર
ડિજિટલ	ડિ@@ જિ@@ ટલ
ડિઝાઈન	ડિ@@ ઝા@@ ઈન
ડેક્કન	ડે@@ ક્@@ કન
ડેલ્ટા	ડે@@ લ્@@ ટા
ડેલ્ફી	ડે@@ લ્@@ ફી
તરસાડી	તર@@ સા@@ ડી
તરસાલી	તર@@ સા@@ લી
તાન્સા	તા@@ ન્@@ સા
તાલાલા	તા@@ લા@@ લા
તિર્કિ	તિ@@ ર્@@ કિ
તિવારી	તિ@@ વા@@ રી
તિસ્તા	તિ@@ સ્@@ તા
તેલુગુ	તે@@ લુ@@ ગુ
થુમ્બા	થુ@@ મ્@@ બા
દરજીડો	દર@@ જી@@ ડો
દરવાજા	દર@@ વા@@ જા
દાંતનો	દા@@ ંત@@ નો
દાબેલી	દા@@ બે@@ લી
દાભોસા	દા@@ ભો@@ સા
દામાણી	દા@@ મા@@ ણી
દારાંગ	દા@@ રા@@ ંગ
દિગંબર	દિ@@ ગં@@ બર
દિબાંગ	દિ@@ બા@@ ંગ
દીપિકા	દી@@ પિ@@ કા
દુખાવો	દુ@@ ખા@@ વો
દુધાળા	દુ@@ ધા@@ ળા
દેબ્સા	દે@@ બ્@@ સા
દેવાંગ	દે@@ વા@@ ંગ
દેશોના	દે@@ શો@@ ના
ધનસુરા	ધન@@ સુ@@ રા
