!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
ટેલુરિયમ	ટેલુરિયમ	_ટેલુરિયમ
ટોંક	ટોંક	_ટોંક
ટોગો	ટોગો	_ટોગો
ટોટનમ	ટોટનમ	_ટોટનમ
ટોટો	ટોટો	_ટોટો
ટોટોપારા	ટોટોપારા	_ટોટોપારા
ટોડરમલ	ટોડરમલ	_ટોડરમલ
ટોપ	ટોપ	_ટોપ
ટોપીવાળા	ટોપીવાળા	_ટોપીવાળા
ટોબેગો	ટોબેગો	_ટોબેગો
ટોય	ટોય	_ટોય
ટોરવાલ્ડ્સ	ટોરવાલ્ડ્સ	_ટોરવાલ્ડ્સ
ટોરોન્ટો	ટોરોન્ટો	_ટોરોન્ટો
ટ્યુનિશિયા	ટ્યુનિશિયા	_ટ્યુનિશિયા
ટ્યુરિંગ	ટ્યુરિંગ	_ટ્યુરિંગ
ટ્યૂલિપ	ટ્યૂલિપ	_ટ્યૂલિપ
ટ્રંપ	ટ્રંપ	_ટ્રંપ
ટ્રસ્ટ	ટ્રસ્ટ	_ટ્રસ્ટ
ટ્રસ્ટ,	ટ્રસ્ટ,	_ટ્રસ્ટ,
ટ્રાઇડેન્ટ	ટ્રાઇડેન્ટ	_ટ્રાઇડેન્ટ
ટ્રાજન	ટ્રાજન	_ટ્રાજન
ટ્રાન્સપોર્ટ	ટ્રાન્સપોર્ટ	_ટ્રાન્સપોર્ટ
ટ્રાન્સ્ફર	ટ્રાન્સ્ફર	_ટ્રાન્સ્ફર
ટ્રાફિક	ટ્રાફિક	_ટ્રાફિક
ટ્રાયડેંટ	ટ્રાયડેંટ	_ટ્રાયડેંટ
ટ્રિંકોમલી,	ટ્રિંકોમલી,	_ટ્રિંકોમલી,
ટ્રિનિદાદ	ટ્રિનિદાદ	_ટ્રિનિદાદ
ટ્રુડો	ટ્રુડો	_ટ્રુડો
ટ્રેક	ટ્રેક	_ટ્રેક
ટ્રેડ	ટ્રેડ	_ટ્રેડ
ટ્રેન	ટ્રેન	_ટ્રેન
ટ્રેફોર્ડ	ટ્રેફોર્ડ	_ટ્રેફોર્ડ
ટ્વિટર	ટ્વિટર	_ટ્વિટર
ટ્વેઇન	ટ્વેઇન	_ટ્વેઇન
ટ્વેનસાંગ	ટ્વેનસાંગ	_ટ્વેનસાંગ
ટ્વેન્ટી20	ટ્વેન્ટી20	_ટ્વેન્ટી20
ઠાકર	ઠાકર	_ઠાકર
ઠાકુર	ઠાકુર	_ઠાકુર
ઠાકોર	ઠાકોર	_ઠાકોર
ઠાડિયા	ઠાડિયા	_ઠાડિયા
ડક	ડક	_ડક
ડગલી	ડગલી	_ડગલી
ડચ	ડચ	_ડચ
ડચ-language	ડચ LANGUAGE	_ડચ || _language
ડબલ્યુ.	ડબલ્યુ.	_ડબલ્યુ.
ડભોઇ	ડભોઇ	_ડભોઇ
ડર્બી	ડર્બી	_ડર્બી
ડલ્લાસ	ડલ્લાસ	_ડલ્લાસ
ડાંગ	ડાંગ	_ડાંગ
ડાંગર	ડાંગર	_ડાંગર
ડાઇઇથાઇલ	ડાઇઇથાઇલ	_ડાઇઇથાઇલ
ડાઉન	ડાઉન	_ડાઉન
ડાકિન્સ	ડાકિન્સ	_ડાકિન્સ
ડાકુ	ડાકુ	_ડાકુ
ડાકોર	ડાકોર	_ડાકોર
ડાફલા	ડાફલા	_ડાફલા
ડાબર	ડાબર	_ડાબર
ડામોર	ડામોર	_ડામોર
ડાય	ડાય	_ડાય
ડાયનાસોર	ડાયનાસોર	_ડાયનાસોર
ડાયનેમાઈટ	ડાયનેમાઈટ	_ડાયનેમાઈટ
ડાયનેમિક્સ	ડાયનેમિક્સ	_ડાયનેમિક્સ
ડાયમંડ	ડાયમંડ	_ડાયમંડ
ડાયાબિટીસ	ડાયાબિટીસ	_ડાયાબિટીસ
ડાર્ટ	ડાર્ટ	_ડાર્ટ
ડાર્મસ્ટેડીયમ	ડાર્મસ્ટેડીયમ	_ડાર્મસ્ટેડીયમ
ડાર્વિન	ડાર્વિન	_ડાર્વિન
ડિ	ડિ	_ડિ
ડિંડોરી	ડિંડોરી	_ડિંડોરી
ડિએગો	ડિએગો	_ડિએગો
ડિજિટલ	ડિજિટલ	_ડિજિટલ
ડિઝાઈન	ડિઝાઈન	_ડિઝાઈન
ડિડો	ડિડો	_ડિડો
ડિપ્રેસિવ	ડિપ્રેસિવ	_ડિપ્રેસિવ
ડિમેન્શિયા	ડિમેન્શિયા	_ડિમેન્શિયા
ડિસઓર્ડર	ડિસઓર્ડર	_ડિસઓર્ડર
ડિસેમ્બર	ડિસેમ્બર	_ડિસેમ્બર
ડિસ્કવરી	ડિસ્કવરી	_ડિસ્કવરી
ડિસ્ટ્રિક્ટ	ડિસ્ટ્રિક્ટ	_ડિસ્ટ્રિક્ટ
ડિસ્ટ્રીબ્યુશન્સની	ડિસ્ટ્રીબ્યુશન્સની	_ડિસ્ટ્રીબ્યુશન્સની
ડિસ્પ્લે	ડિસ્પ્લે	_ડિસ્પ્લે
ડિસ્લેક્સીયા	ડિસ્લેક્સીયા	_ડિસ્લેક્સીયા
ડી	ડી	_ડી
ડી.	ડી.	_ડી.
ડીઝલ	ડીઝલ	_ડીઝલ
ડીડી	ડીડી	_ડીડી
ડીયોન	ડીયોન	_ડીયોન
ડીસા	ડીસા	_ડીસા
ડીસ્પ્રોસીયમ	ડીસ્પ્રોસીયમ	_ડીસ્પ્રોસીયમ
ડુંગર	ડુંગર	_ડુંગર
ડુંગર,	ડુંગર,	_ડુંગર,
ડુંગરપુર	ડુંગરપુર	_ડુંગરપુર
ડુંગરા	ડુંગરા	_ડુંગરા
ડુંગરી	ડુંગર +(ી)	_ડુંગર +ી
ડુંગળી	ડુંગળી	_ડુંગળી
ડુબકી	ડુબકી	_ડુબકી
ડુમખલ	ડુમખલ	_ડુમખલ
ડુમરા	ડુમરા	_ડુમરા
ડુમસ	ડુમસ	_ડુમસ
ડૂબનીયમ	ડૂબનીયમ	_ડૂબનીયમ
ડે	ડે	_ડે
ડેક્કન	ડેક્કન	_ડેક્કન
ડેઝા	ડેઝા	_ડેઝા
ડેટા	ડેટા	_ડેટા
ડેટાબેઝ	ડેટાબેઝ	_ડેટાબેઝ
ડેડમાઉસ	ડેડમાઉસ	_ડેડમાઉસ
ડેડીયાપાડા	ડેડીયાપાડા	_ડેડીયાપાડા
ડેથલી	ડેથલી	_ડેથલી
ડેનમાર્કનો	ડેનમાર્કનો	_ડેનમાર્કનો
ડેનિસ	ડેનિસ	_ડેનિસ
ડેની	ડેની	_ડેની
ડેન્ગ્યુ	ડેન્ગ્યુ	_ડેન્ગ્યુ
ડેન્ઝોંગ્પા	ડેન્ઝોંગ્પા	_ડેન્ઝોંગ્પા
ડેબિયન	ડેબિયન	_ડેબિયન
ડેમ	ડેમ	_ડેમ
ડેમી	ડેમ +(ી)	_ડેમ +ી
ડેરી	ડેરી	_ડેરી
ડેલહાઉઝી	ડેલહાઉઝી	_ડેલહાઉઝી
ડેલ્ટા	ડેલ્ટા	_ડેલ્ટા
ડેલ્ફી	ડેલ્ફી	_ડેલ્ફી
ડેવિડ	ડેવિડ	_ડેવિડ
ડેવી	ડેવી	_ડેવી
ડૉ.	ડૉ.	_ડૉ.
ડૉ.કમલા	ડૉ.કમલા	_ડૉ.કમલા
ડૉંગ	ડૉંગ	_ડૉંગ
ડો.	ડો.	_ડો.
ડોઈવાલા	ડોઈવાલા	_ડોઈવાલા
ડોગરા	ડોગરા	_ડોગરા
ડોગરી	ડોગરી	_ડોગરી
ડોટી	ડોટી	_ડોટી
ડોડા	ડોડા	_ડોડા
ડોડાબેટ્ટા	ડોડાબેટ્ટા	_ડોડાબેટ્ટા
ડોન	ડોન	_ડોન
ડોનાલ્ડ	ડોનાલ્ડ	_ડોનાલ્ડ
ડોમ	ડોમ	_ડોમ
ડોમિનિકન	ડોમિનિકન	_ડોમિનિકન
ડોમિનિકાનો	ડોમિનિકાનો	_ડોમિનિકાનો
ડોમેન	ડોમેન	_ડોમેન
ડોરેમોન	ડોરેમોન	_ડોરેમોન
ડોલર	ડોલર	_ડોલર
ડોલરરાય	ડોલરરાય	_ડોલરરાય
ડ્રાઇવ	ડ્રાઇવ	_ડ્રાઇવ
ડ્રેગનફ્રુટ	ડ્રેગનફ્રુટ	_ડ્રેગનફ્રુટ
ઢળતો	ઢળતો	_ઢળતો
ઢાંક	ઢાંક	_ઢાંક
ઢાંકી	ઢાંક +(ી)	_ઢાંક +ી
ઢાંચા	ઢાંચા	_ઢાંચા
ઢાંચાઓ	ઢાંચાઓ	_ઢાંચાઓ
ઢાંચો	ઢાંચો	_ઢાંચો
ઢાકા	ઢાકા	_ઢાકા
ઢાઢર	ઢાઢર	_ઢાઢર
ઢાબા	ઢાબા	_ઢાબા
ઢાલપૂચ્છ	ઢાલપૂચ્છ	_ઢાલપૂચ્છ
ઢીંગલી	ઢીંગલી	_ઢીંગલી
ઢીમા	ઢીમા	_ઢીમા
ઢેબર	ઢેબર	_ઢેબર
ઢોંક	ઢોંક	_ઢોંક
ઢોકળાં	ઢોકળાં	_ઢોકળાં
ઢોલ	ઢોલ	_ઢોલ
ઢોલા	ઢોલા	_ઢોલા
ઢોસા	ઢોસા	_ઢોસા
તંજાવુર	તંજાવુર	_તંજાવુર
તંત્ર	તંત્ર	_તંત્ર
તક	તક	_તક
તકનીક	તકનીક	_તકનીક
તકમરિયાં	તકમરિયાં	_તકમરિયાં
તકાકિ	તકાકિ	_તકાકિ
તખતગઢ	તખતગઢ	_તખતગઢ
તખ્ત	તખ્ત	_તખ્ત
તખ્તેબહી	તખ્તેબહી	_તખ્તેબહી
તજ	તજ	_તજ
તટ	તટ	_તટ
તત્ત્વ	તત્ત્વ	_તત્ત્વ
તત્વજ્ઞાન	તત્વજ્ઞાન	_તત્વજ્ઞાન
તત્વાર્થ	તત્વાર્થ	_તત્વાર્થ
તત્વો	તત્વો	_તત્વો
તનહઊ	તનહઊ	_તનહઊ
તનુશ્રી	તનુશ્રી	_તનુશ્રી
તન્વર	તન્વર	_તન્વર
તપન	તપન	_તપન
તપાસની	તપાસની	_તપાસની
તબલા	તબલા	_તબલા
તમલુક	તમલુક	_તમલુક
તમસા	તમસા	_તમસા
તમાકુ	તમાકુ	_તમાકુ
તમિલ	તમિલ	_તમિલ
તમિલનાડુ	તમિલનાડુ	_તમિલનાડુ
તમિલનાડુના	તમિલનાડુ +(ના)	_તમિલનાડુ +ના
તમિલનાડુનો	તમિલનાડુનો	_તમિલનાડુનો
તમિલેરુ	તમિલેરુ	_તમિલેરુ
તમેન્ગલોન્ગ	તમેન્ગલોન્ગ	_તમેન્ગલોન્ગ
તરંગલંબાઈ	તરંગલંબાઈ	_તરંગલંબાઈ
તરંગો	તરંગો	_તરંગો
તરણેતર	તરણેતર	_તરણેતર
તરન	તરન	_તરન
તરબૂચ	તરબૂચ	_તરબૂચ
તરલા	તરલા	_તરલા
તરસાડી	તરસાડી	_તરસાડી
તરસાડીયા	તરસાડીયા	_તરસાડીયા
તરસાલી	તરસાલી	_તરસાલી
તર્ક	તર્ક	_તર્ક
તર્જની	તર્જની	_તર્જની
તલ	તલ	_તલ
તલવાણા	તલવાણા	_તલવાણા
તલવાર	તલવાર	_તલવાર
તલાટી	તલાટી	_તલાટી
તલાશ	તલાશ	_તલાશ
તલીયારા	તલીયારા	_તલીયારા
તલોદ	તલોદ	_તલોદ
તળાજા	તળાજા	_તળાજા
તળાવ	તળાવ	_તળાવ
તળાવ,	તળાવ,	_તળાવ,
તળે	તળે	_તળે
તળોદા	તળોદા	_તળોદા
તવા	તવા	_તવા
તવાંગ	તવાંગ	_તવાંગ
તવી	તવી	_તવી
તહર્રૂશ	તહર્રૂશ	_તહર્રૂશ
તહેવાર	તહેવાર	_તહેવાર
તહેવારો	તહેવાર +(ો)	_તહેવાર +ો
તાંગ્ગુલા	તાંગ્ગુલા	_તાંગ્ગુલા
તાંડવ	તાંડવ	_તાંડવ
તાંબુ	તાંબુ	_તાંબુ
તાઈ	તાઈ	_તાઈ
તાઈકવૉન્દો	તાઈકવૉન્દો	_તાઈકવૉન્દો
તાઓ	તાઓ	_તાઓ
તાજ	તાજ	_તાજ
તાજિકિસ્તાન	તાજિકિસ્તાન	_તાજિકિસ્તાન
તાડ	તાડ	_તાડ
તાડકા	તાડકા	_તાડકા
તાતા	તાતા	_તાતા
તાત્યો	તાત્યો	_તાત્યો
તાનસેન	તાનસેન	_તાનસેન
તાન્સા	તાન્સા	_તાન્સા
તાપ	તાપ	_તાપ
તાપમાન	તાપમાન	_તાપમાન
તાપી	તાપ +(ી)	_તાપ +ી
તાબો,	તાબો,	_તાબો,
તામડા	તામડા	_તામડા
તામિલનાડુમાં	તામિલનાડુમાં	_તામિલનાડુમાં
તારંગા	તારંગા	_તારંગા
તારક	તારક	_તારક
તારણ	તારણ	_તારણ
તારણપંથ	તારણપંથ	_તારણપંથ
તારન	તારન	_તારન
તારા	તારા	_તારા
તારાઓ	તારાઓ	_તારાઓ
તારાગઢ	તારાગઢ	_તારાગઢ
તારાપુર	તારાપુર	_તારાપુર
તારાપોર	તારાપોર	_તારાપોર
તારાપોરવાલા	તારાપોરવાલા	_તારાપોરવાલા
તારાબાઈ	તારાબાઈ	_તારાબાઈ
તારો	તારો	_તારો
તાલ	તાલ	_તાલ
તાલકટોરા	તાલકટોરા	_તાલકટોરા
તાલાલા	તાલાલા	_તાલાલા
તાલિબાન	તાલિબાન	_તાલિબાન
તાલિબાનનું	તાલિબાનનું	_તાલિબાનનું
તાલિમ	તાલિમ	_તાલિમ
તાલીપેરુ	તાલીપેરુ	_તાલીપેરુ
તાલુકા	તાલુકા	_તાલુકા
તાલુકાઓ	તાલુકાઓ	_તાલુકાઓ
તાલુકો	તાલુકો	_તાલુકો
તાળું	તાળું	_તાળું
તાવ	તાવ	_તાવ
તાવી	તાવ +(ી)	_તાવ +ી
તાશ્કંદ	તાશ્કંદ	_તાશ્કંદ
તાસ્માન	તાસ્માન	_તાસ્માન
તિથલ	તિથલ	_તિથલ
તિથિ	તિથિ	_તિથિ
તિનાઉ	તિનાઉ	_તિનાઉ
તિબેટ	તિબેટ	_તિબેટ
તિમણ	તિમણ	_તિમણ
તિમોર	તિમોર	_તિમોર
તિમોરનો	તિમોરનો	_તિમોરનો
તિરપ	તિરપ	_તિરપ
તિરહુત	તિરહુત	_તિરહુત
તિરુનેલવેલી	તિરુનેલવેલી	_તિરુનેલવેલી
તિરુપતિ	તિરુપતિ	_તિરુપતિ
તિરુપતી	તિરુપતી	_તિરુપતી
તિરુવનંતપુરમ્	તિરુવનંતપુરમ્	_તિરુવનંતપુરમ્
તિરુવનામલઇ	તિરુવનામલઇ	_તિરુવનામલઇ
તિરુવરુર	તિરુવરુર	_તિરુવરુર
તિરુવલ્લુર	તિરુવલ્લુર	_તિરુવલ્લુર
તિર્કિ	તિર્કિ	_તિર્કિ
તિલક	તિલક	_તિલક
તિલકરત્ને	તિલકરત્ને	_તિલકરત્ને
તિલોત્તમા	તિલોત્તમા	_તિલોત્તમા
તિવારી	તિવારી	_તિવારી
તિસ્તા	તિસ્તા	_તિસ્તા
તીતર	તીતર	_તીતર
તીરથગઢ	તીરથગઢ	_તીરથગઢ
તીર્થ	તીર્થ	_તીર્થ
તીર્થંકર	તીર્થંકર	_તીર્થંકર
તુંગનાથ	તુંગનાથ	_તુંગનાથ
તુકારામ	તુકારામ	_તુકારામ
તુઘલક	તુઘલક	_તુઘલક
તુણા	તુણા	_તુણા
તુમકુર	તુમકુર	_તુમકુર
તુમ્બાડ	તુમ્બાડ	_તુમ્બાડ
તુર્કમેનિસ્તાન	તુર્કમેનિસ્તાન	_તુર્કમેનિસ્તાન
તુર્કસ્તાન	તુર્કસ્તાન	_તુર્કસ્તાન
તુર્કિશ	તુર્કિશ	_તુર્કિશ
તુલસી	તુલસી	_તુલસી
તુલસીદાસ	તુલસીદાસ	_તુલસીદાસ
તુલસીશ્યામ	તુલસી શ્યામ	_તુલસી || _શ્યામ
તુલા	તુલા	_તુલા
તુવેર	તુવેર	_તુવેર
તુસાદ	તુસાદ	_તુસાદ
તૂટી	તૂટી	_તૂટી
તૃશ્શૂર	તૃશ્શૂર	_તૃશ્શૂર
તે	તે	_તે
તેંડુલકર	તેંડુલકર	_તેંડુલકર
તેજગઢ	તેજગઢ	_તેજગઢ
તેજસ	તેજસ	_તેજસ
તેજસ્વી	તેજસ્વી	_તેજસ્વી
તેજારા	તેજારા	_તેજારા
તેજી	તેજી	_તેજી
તેઝુ	તેઝુ	_તેઝુ
તેના	તેના	_તેના
તેમનો	તેમનો	_તેમનો
તેરવાડા	તેરવાડા	_તેરવાડા
તેરસ	તેરસ	_તેરસ
તેરા	તેરા	_તેરા
તેલ	તેલ	_તેલ
તેલંગાણા	તેલંગાણા	_તેલંગાણા
તેલનાર	તેલનાર	_તેલનાર
તેલનું	તેલનું	_તેલનું
તેલીનીલાપુરમ	તેલીનીલાપુરમ	_તેલીનીલાપુરમ
તેલુકુંચી	તેલુકુંચી	_તેલુકુંચી
તેલુગુ	તેલુગુ	_તેલુગુ
તેહરી	તેહરી	_તેહરી
તૈયબજી	તૈયબજી	_તૈયબજી
તૈયાર	તૈયાર	_તૈયાર
તો	તો	_તો
તોમ	તોમ	_તોમ
તોરખાન	તોરખાન	_તોરખાન
તોરણમાળ	તોરણમાળ	_તોરણમાળ
તોરણે	તોરણે	_તોરણે
તોષ,	તોષ,	_તોષ,
તૌરાત	તૌરાત	_તૌરાત
ત્યાગરાજ	ત્યાગરાજ	_ત્યાગરાજ
ત્રંબકેશ્વર	ત્રંબકેશ્વર	_ત્રંબકેશ્વર
ત્રણ	ત્રણ	_ત્રણ
ત્રિકોણ	ત્રિકોણ	_ત્રિકોણ
ત્રિકોણમિતિ	ત્રિકોણમિતિ	_ત્રિકોણમિતિ
ત્રિજટા	ત્રિજટા	_ત્રિજટા
ત્રિજ્યા	ત્રિજ્યા	_ત્રિજ્યા
ત્રિપાઠી	ત્રિપાઠી	_ત્રિપાઠી
ત્રિપિટક	ત્રિપિટક	_ત્રિપિટક
ત્રિપુરા	ત્રિપુરા	_ત્રિપુરા
ત્રિભુવનભાઇ	ત્રિભુવનભાઇ	_ત્રિભુવનભાઇ
ત્રિયુગી	ત્રિયુગી	_ત્રિયુગી
ત્રિવેણી	ત્રિવેણી	_ત્રિવેણી
ત્રિવેદી	ત્રિવેદી	_ત્રિવેદી
ત્રિશૂલ	ત્રિશૂલ	_ત્રિશૂલ
ત્રિશ્શૂર	ત્રિશ્શૂર	_ત્રિશ્શૂર
ત્રીજ	ત્રીજ	_ત્રીજ
ત્રીજા	ત્રીજા	_ત્રીજા
ત્રીજી	ત્રીજ +(ી)	_ત્રીજ +ી
ત્રીજું	ત્રીજું	_ત્રીજું
ત્રેતાયુગ	ત્રેતાયુગ	_ત્રેતાયુગ
ત્રૈકુટક	ત્રૈકુટક	_ત્રૈકુટક
ત્ર્યંબકેશ્વર	ત્ર્યંબકેશ્વર	_ત્ર્યંબકેશ્વર
ત્સરાપ	ત્સરાપ	_ત્સરાપ
થંજાવુર	થંજાવુર	_થંજાવુર
થઇ	થઇ	_થઇ
થડચડ	થડચડ	_થડચડ
થડા	થડા	_થડા
થતા	થતા	_થતા
થનગાટ	થનગાટ	_થનગાટ
થરા	થરા	_થરા
થરાદ	થરાદ	_થરાદ
થલતેજ	થલતેજ	_થલતેજ
થવું	થવું	_થવું
થાઇલેન્ડ	થાઇલેન્ડ	_થાઇલેન્ડ
થાઇલેન્ડનો	થાઇલેન્ડનો	_થાઇલેન્ડનો
થાઈલેન્ડ	થાઈલેન્ડ	_થાઈલેન્ડ
થાણા	થાણા	_થાણા
થાનગઢ	થાનગઢ	_થાનગઢ
થાપા	થાપા	_થાપા
થાય	થાય	_થાય
થાળ	થાળ	_થાળ
થાળી	થાળ +(ી)	_થાળ +ી
થિઓડોર	થિઓડોર	_થિઓડોર
થિમ્ફુ	થિમ્ફુ	_થિમ્ફુ
થીમ	થીમ	_થીમ
થુંગા	થુંગા	_થુંગા
થુમ્બા	થુમ્બા	_થુમ્બા
થુલિયમ	થુલિયમ	_થુલિયમ
થેની	થેની	_થેની
થેપલા	થેપલા	_થેપલા
થેફ્ટ	થેફ્ટ	_થેફ્ટ
થેલીયમ	થેલીયમ	_થેલીયમ
થૉમસ	થૉમસ	_થૉમસ
થોટુપોલા	થોટુપોલા	_થોટુપોલા
થોર	થોર	_થોર
થોરડી	થોરડી	_થોરડી
થોરીયમ	થોરીયમ	_થોરીયમ
થૌબલ	થૌબલ	_થૌબલ
થ્રશ	થ્રશ	_થ્રશ
થ્રેશિંગ	થ્રેશિંગ	_થ્રેશિંગ
થ્રોન્સ	થ્રોન્સ	_થ્રોન્સ
દ	દ	_દ
દંડ	દંડ	_દંડ
દંતેવાડા	દંતેવાડા	_દંતેવાડા
દક્ષા	દક્ષા	_દક્ષા
દક્ષિણ	દક્ષિણ	_દક્ષિણ
દક્ષિણા	દક્ષિણા	_દક્ષિણા
દગડ	દગડ	_દગડ
દગડી	દગડ +(ી)	_દગડ +ી
દડો	દડો	_દડો
દતિયા	દતિયા	_દતિયા
દત્ત	દત્ત	_દત્ત
દત્તા	દત્તા	_દત્તા
દત્તાત્રેય	દત્તાત્રેય	_દત્તાત્રેય
દદેલધુરા	દદેલધુરા	_દદેલધુરા
દમણ	દમણ	_દમણ
દમણગંગા	દમણગંગા	_દમણગંગા
દયાદરા	દયાદરા	_દયાદરા
દયાનંદ	દયાનંદ	_દયાનંદ
દયારામ	દયારામ	_દયારામ
દયાલ	દયાલ	_દયાલ
દર	દર	_દર
દરજી	દરજી	_દરજી
દરજીડો	દરજીડો	_દરજીડો
દરજ્જો	દરજ્જો	_દરજ્જો
દરભંગા	દરભંગા	_દરભંગા
દરમિયાન	દરમિયાન	_દરમિયાન
દરવાજા	દરવાજા	_દરવાજા
દરિયાઇખાડી	દરિયાઇખાડી	_દરિયાઇખાડી
દરિયાઈ	દરિયાઈ	_દરિયાઈ
દરિયાકિનારો	દરિયાકિનારો	_દરિયાકિનારો
દરિયાતટ	દરિયાતટ	_દરિયાતટ
દરિયાપુર	દરિયાપુર	_દરિયાપુર
દરીયાઈ	દરીયાઈ	_દરીયાઈ
દરેક	દરેક	_દરેક
દર્રાહ	દર્રાહ	_દર્રાહ
દર્શન	દર્શન	_દર્શન
દર્શના	દર્શન +(ના)	_દર્શન $-ન +ના
દલપતભાઈ	દલપતભાઈ	_દલપતભાઈ
દલપતરામ	દલપતરામ	_દલપતરામ
દલાલ	દલાલ	_દલાલ
દલિત	દલિત	_દલિત
દલીચંદ	દલીચંદ	_દલીચંદ
દળ	દળ	_દળ
દવે	દવે	_દવે
દશમ	દશમ	_દશમ
દશરથ	દશરથ	_દશરથ
દશાંશ	દશાંશ	_દશાંશ
દશાવતાર	દશાવતાર	_દશાવતાર
દશેરા	દશેરા	_દશેરા
દસાડી	દસાડી	_દસાડી
દસ્ક્રોઇ	દસ્ક્રોઇ	_દસ્ક્રોઇ
દહનશીલતા	દહનશીલતા	_દહનશીલતા
દહાણુ	દહાણુ	_દહાણુ
દહીં	દહીં	_દહીં
દહીંવાલા	દહીંવાલા	_દહીંવાલા
દહીંસર	દહીંસર	_દહીંસર
દહીડા	દહીડા	_દહીડા
દહીપૂરી	દહીપૂરી	_દહીપૂરી
દહેગામ	દહેગામ	_દહેગામ
દહેજ	દહેજ	_દહેજ
દહેરાદૂન	દહેરાદૂન	_દહેરાદૂન
દહેલવી	દહેલવી	_દહેલવી
દાંગ	દાંગ	_દાંગ
દાંડી	દાંડી	_દાંડી
દાંતનું	દાંતનું	_દાંતનું
દાંતનો	દાંતનો	_દાંતનો
દાંતા	દાંતા	_દાંતા
દાંતીવાડા	દાંતીવાડા	_દાંતીવાડા
દાચીગામ	દાચીગામ	_દાચીગામ
દાઢી	દાઢી	_દાઢી
દાણીધાર	દાણીધાર	_દાણીધાર
દાતરડું	દાતરડું	_દાતરડું
દાત્રાણા	દાત્રાણા	_દાત્રાણા
દાદરા	દાદરા	_દાદરા
દાદરા,	દાદરા,	_દાદરા,
દાદા	દાદા	_દાદા
દાદાભાઈ	દાદાભાઈ	_દાદાભાઈ
દાદાવાળા	દાદા વાળા	_દાદા || _વાળા
દાદાસાહેબ	દાદા સાહેબ	_દાદા || _સાહેબ
દાદૂ	દાદૂ	_દાદૂ
દાન	દાન	_દાન
દાનીયેલ	દાનીયેલ	_દાનીયેલ
દાબેલી	દાબેલી	_દાબેલી
દાભોસા	દાભોસા	_દાભોસા
દામાણી	દામાણી	_દામાણી
દામોદર	દામોદર	_દામોદર
દામોદરન	દામોદરન	_દામોદરન
દામોહ	દામોહ	_દામોહ
દાયકો	દાયકો	_દાયકો
દાયણ	દાયણ	_દાયણ
દારચુલા	દારચુલા	_દારચુલા
દારમા	દારમા	_દારમા
દારાંગ	દારાંગ	_દારાંગ
દારૂલ	દારૂલ	_દારૂલ
દાર્જિલિંગ	દાર્જિલિંગ	_દાર્જિલિંગ
દાર્જીલીંગ	દાર્જીલીંગ	_દાર્જીલીંગ
દાલ	દાલ	_દાલ
દાળ	દાળ	_દાળ
દાવકી,	દાવકી,	_દાવકી,
દાવનગિરી	દાવનગિરી	_દાવનગિરી
દાવર	દાવર	_દાવર
દાશરાજ્ઞ	દાશરાજ્ઞ	_દાશરાજ્ઞ
દાસ	દાસ	_દાસ
દાહ	દાહ	_દાહ
દાહિર	દાહિર	_દાહિર
દાહોદ	દાહોદ	_દાહોદ
દિંડીગુલ	દિંડીગુલ	_દિંડીગુલ
દિક્ષીત	દિક્ષીત	_દિક્ષીત
દિગંબર	દિગંબર	_દિગંબર
દિગીશ	દિગીશ	_દિગીશ
દિગ્દર્શકો	દિગ્દર્શકો	_દિગ્દર્શકો
દિઘે	દિઘે	_દિઘે
દિન	દિન	_દિન
દિનકર	દિનકર	_દિનકર
દિનાજપુર	દિનાજપુર	_દિનાજપુર
દિપક	દિપક	_દિપક
દિપડો	દિપડો	_દિપડો
દિબાંગ	દિબાંગ	_દિબાંગ
દિબ્રુગઢ	દિબ્રુગઢ	_દિબ્રુગઢ
દિમા	દિમા	_દિમા
દિયાસ	દિયાસ	_દિયાસ
દિયોદર	દિયોદર	_દિયોદર
દિલરાસ	દિલરાસ	_દિલરાસ
દિલશાન	દિલશાન	_દિલશાન
દિલિપ	દિલિપ	_દિલિપ
દિલીપ	દિલીપ	_દિલીપ
દિલ્હી	દિલ્હી	_દિલ્હી
દિલ્હીના	દિલ્હી +(ના)	_દિલ્હી +ના
દિલ્હીનો	દિલ્હીનો	_દિલ્હીનો
દિવસ	દિવસ	_દિવસ
દિવસો	દિવસ +(ો)	_દિવસ +ો
દિવાન	દિવાન	_દિવાન
દિવાળી	દિવાળી	_દિવાળી
દિવાળીબેન	દિવાળીબેન	_દિવાળીબેન
દિવેટિયા	દિવેટિયા	_દિવેટિયા
દિવેલ	દિવેલ	_દિવેલ
દિવેલી	દિવેલ +(ી)	_દિવેલ +ી
દિવ્ય	દિવ્ય	_દિવ્ય
દિશા	દિશા	_દિશા
દિશાઓ	દિશાઓ	_દિશાઓ
દિસપુર	દિસપુર	_દિસપુર
દીક્ષાભૂમિ	દીક્ષાભૂમિ	_દીક્ષાભૂમિ
દીક્ષિત	દીક્ષિત	_દીક્ષિત
દીદાત	દીદાત	_દીદાત
દીનદયાલ	દીનદયાલ	_દીનદયાલ
દીનદયાળ	દીનદયાળ	_દીનદયાળ
દીના	દીના	_દીના
દીનારા	દીનારા	_દીનારા
દીપિકા	દીપિકા	_દીપિકા
